[1518, 1004]
[folio, [405.0, 45.0, 214.0, 36.0], shoonya_15sGM1FX0VIUG0, 6471579]
[folio, [405.0, 81.0, 214.0, 36.0], shoonya_15sGM1FX0VIUG0, 6471579]
[headline, [125.0, 189.0, 359.0, 37.5], shoonya_9sTZNBD8KZ6PT6, 6471579]
[headline, [125.0, 226.5, 359.0, 37.5], shoonya_9sTZNBD8KZ6PT6, 6471579]
[headline, [125.0, 264.0, 359.0, 37.5], shoonya_9sTZNBD8KZ6PT6, 6471579]
[headline, [125.0, 301.5, 359.0, 37.5], shoonya_9sTZNBD8KZ6PT6, 6471579]
[headline, [125.0, 339.0, 359.0, 37.5], shoonya_9sTZNBD8KZ6PT6, 6471579]
[paragraph, [529.0, 193.0, 424.0, 36.0], shoonya_12sP6XYDABMAX2, 6471579]
[paragraph, [529.0, 229.0, 424.0, 36.0], shoonya_12sP6XYDABMAX2, 6471579]
[paragraph, [530.0, 299.0, 429.0, 36.0], shoonya_5s7IK089SDJ0A4, 6471579]
[paragraph, [530.0, 335.0, 429.0, 36.0], shoonya_5s7IK089SDJ0A4, 6471579]
[paragraph, [530.0, 371.0, 429.0, 36.0], shoonya_5s7IK089SDJ0A4, 6471579]
[paragraph, [530.0, 407.0, 429.0, 36.0], shoonya_5s7IK089SDJ0A4, 6471579]
[paragraph, [530.0, 443.0, 429.0, 36.0], shoonya_5s7IK089SDJ0A4, 6471579]
[paragraph, [530.0, 479.0, 429.0, 36.0], shoonya_5s7IK089SDJ0A4, 6471579]
[paragraph, [54.0, 427.0, 433.0, 36.0], shoonya_4s4PZ61TNS63P9, 6471579]
[paragraph, [54.0, 463.0, 433.0, 36.0], shoonya_4s4PZ61TNS63P9, 6471579]
[paragraph, [54.0, 499.0, 433.0, 36.0], shoonya_4s4PZ61TNS63P9, 6471579]
[paragraph, [610.0, 530.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
[paragraph, [610.0, 566.0, 346.0, 36.0], shoonya_3sS1M48MQZX8YF, 6471579]
