[1625, 1211]
[section-title, [798.0, 99.0, 297.0, 49.5], -Hvuiy7pTn, 5742323]
[section-title, [798.0, 148.5, 297.0, 49.5], -Hvuiy7pTn, 5742323]
[section-title, [798.0, 198.0, 297.0, 49.5], -Hvuiy7pTn, 5742323]
[paragraph, [435.0, 105.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 141.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 177.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 213.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 249.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 285.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 321.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 357.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 393.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 429.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 465.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 501.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 537.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [435.0, 573.0, 343.0, 36.0], LJ015MBYaz, 5742323]
[paragraph, [78.0, 108.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 144.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 180.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 216.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 252.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 288.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 324.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
[paragraph, [78.0, 360.0, 346.0, 36.0], bZyEygzK-Q, 5742323]
