[842, 595]
[paragraph, [301.0, 90.0, 241.0, 18.0], shoonya_3sWB5F4P0MSX66, 5742277]
[paragraph, [301.0, 108.0, 241.0, 18.0], shoonya_3sWB5F4P0MSX66, 5742277]
[paragraph, [301.0, 126.0, 241.0, 18.0], shoonya_3sWB5F4P0MSX66, 5742277]
[paragraph, [301.0, 144.0, 241.0, 18.0], shoonya_3sWB5F4P0MSX66, 5742277]
[paragraph, [301.0, 162.0, 241.0, 18.0], shoonya_3sWB5F4P0MSX66, 5742277]
[paragraph, [301.0, 180.0, 241.0, 18.0], shoonya_3sWB5F4P0MSX66, 5742277]
[paragraph, [53.0, 91.0, 242.0, 18.0], shoonya_2sBCMN85MWFXQ5, 5742277]
[paragraph, [53.0, 109.0, 242.0, 18.0], shoonya_2sBCMN85MWFXQ5, 5742277]
[paragraph, [53.0, 127.0, 242.0, 18.0], shoonya_2sBCMN85MWFXQ5, 5742277]
[paragraph, [53.0, 145.0, 242.0, 18.0], shoonya_2sBCMN85MWFXQ5, 5742277]
[paragraph, [53.0, 163.0, 242.0, 18.0], shoonya_2sBCMN85MWFXQ5, 5742277]
[paragraph, [53.0, 181.0, 242.0, 18.0], shoonya_2sBCMN85MWFXQ5, 5742277]
[paragraph, [300.0, 210.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 228.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 246.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 264.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 282.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 300.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 318.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 336.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 354.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 372.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 390.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [300.0, 408.0, 243.0, 18.0], shoonya_1s0KOGHYD7SYH7, 5742277]
[paragraph, [53.0, 212.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 230.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 248.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 266.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 284.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 302.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 320.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 338.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 356.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 374.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 392.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 410.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 428.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 446.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [53.0, 464.0, 243.0, 18.0], shoonya_0s8T5C8OCSNI64, 5742277]
[paragraph, [298.0, 431.0, 241.0, 18.0], shoonya_5s9XMRPDW8FMIF, 5742277]
