[2337, 1642]
[paragraph, [139.0, 158.0, 1367.0, 36.0], shoonya_0sZT5FHWL6JO74, 5752547]
[paragraph, [139.0, 194.0, 1367.0, 36.0], shoonya_0sZT5FHWL6JO74, 5752547]
[paragraph, [139.0, 230.0, 1367.0, 36.0], shoonya_0sZT5FHWL6JO74, 5752547]
[paragraph, [139.0, 266.0, 1367.0, 36.0], shoonya_0sZT5FHWL6JO74, 5752547]
[paragraph, [139.0, 302.0, 1367.0, 36.0], shoonya_0sZT5FHWL6JO74, 5752547]
[paragraph, [149.0, 379.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 415.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 451.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 487.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 523.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 559.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 595.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 631.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 667.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 703.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 739.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 775.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 811.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 847.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 883.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 919.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 955.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 991.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1027.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1063.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1099.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1135.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1171.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1207.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1243.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1279.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1315.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1351.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1387.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1423.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1459.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [149.0, 1495.0, 1359.0, 36.0], shoonya_3sUW15X6NBH7QZ, 5752547]
[paragraph, [140.0, 1588.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1624.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1660.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1696.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1732.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1768.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1804.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1840.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1876.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1912.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1948.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 1984.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[paragraph, [140.0, 2020.0, 1357.0, 36.0], shoonya_1sCCI2B7WO03UV, 5752547]
[website-link, [554.0, 2256.0, 525.0, 18.0], uROKAw4ZFt, 5752547]
[website-link, [554.0, 2274.0, 525.0, 18.0], uROKAw4ZFt, 5752547]
[website-link, [554.0, 2292.0, 525.0, 18.0], uROKAw4ZFt, 5752547]
