[2250, 1750]
[paragraph, [89.0, 89.0, 721.0, 36.0], zOTjDCfoxz, 5752340]
[paragraph, [89.0, 125.0, 721.0, 36.0], zOTjDCfoxz, 5752340]
[paragraph, [89.0, 161.0, 721.0, 36.0], zOTjDCfoxz, 5752340]
[paragraph, [888.0, 98.0, 708.0, 36.0], shoonya_10s5V7Z0IB7CWZ, 5752340]
[paragraph, [888.0, 134.0, 708.0, 36.0], shoonya_10s5V7Z0IB7CWZ, 5752340]
[paragraph, [888.0, 170.0, 708.0, 36.0], shoonya_10s5V7Z0IB7CWZ, 5752340]
[paragraph, [888.0, 206.0, 708.0, 36.0], shoonya_10s5V7Z0IB7CWZ, 5752340]
[paragraph, [95.0, 221.0, 707.0, 36.0], shoonya_4sI57K558GXFEP, 5752340]
[paragraph, [95.0, 257.0, 707.0, 36.0], shoonya_4sI57K558GXFEP, 5752340]
[paragraph, [95.0, 293.0, 707.0, 36.0], shoonya_4sI57K558GXFEP, 5752340]
[paragraph, [95.0, 329.0, 707.0, 36.0], shoonya_4sI57K558GXFEP, 5752340]
[paragraph, [95.0, 365.0, 707.0, 36.0], shoonya_4sI57K558GXFEP, 5752340]
[paragraph, [95.0, 401.0, 707.0, 36.0], shoonya_4sI57K558GXFEP, 5752340]
[paragraph, [95.0, 437.0, 707.0, 36.0], shoonya_4sI57K558GXFEP, 5752340]
[paragraph, [95.0, 473.0, 707.0, 36.0], shoonya_4sI57K558GXFEP, 5752340]
[paragraph, [887.0, 274.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 310.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 346.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 382.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 418.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 454.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 490.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 526.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 562.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [887.0, 598.0, 707.0, 36.0], shoonya_6s6SDKGE3BA8IE, 5752340]
[paragraph, [90.0, 579.0, 711.0, 36.0], shoonya_9sDIZZ7ODGD6GN, 5752340]
[paragraph, [90.0, 615.0, 711.0, 36.0], shoonya_9sDIZZ7ODGD6GN, 5752340]
[paragraph, [90.0, 651.0, 711.0, 36.0], shoonya_9sDIZZ7ODGD6GN, 5752340]
[paragraph, [90.0, 687.0, 711.0, 36.0], shoonya_9sDIZZ7ODGD6GN, 5752340]
[paragraph, [90.0, 723.0, 711.0, 36.0], shoonya_9sDIZZ7ODGD6GN, 5752340]
[paragraph, [885.0, 667.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 703.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 739.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 775.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 811.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 847.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 883.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 919.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 955.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 991.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1027.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1063.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1099.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1135.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1171.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1207.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1243.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1279.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1315.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1351.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1387.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1423.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1459.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1495.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1531.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1567.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [885.0, 1603.0, 710.0, 36.0], shoonya_2sH1D05II4ART6, 5752340]
[paragraph, [93.0, 841.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 877.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 913.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 949.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 985.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 1021.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 1057.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 1093.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 1129.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 1165.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 1201.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [93.0, 1237.0, 708.0, 36.0], shoonya_0sK6LTN9AEDLBP, 5752340]
[paragraph, [94.0, 1326.0, 706.0, 36.0], shoonya_1s60K95KCVM7VG, 5752340]
[paragraph, [94.0, 1362.0, 706.0, 36.0], shoonya_1s60K95KCVM7VG, 5752340]
[paragraph, [94.0, 1398.0, 706.0, 36.0], shoonya_1s60K95KCVM7VG, 5752340]
