[2250, 1750]
[paragraph, [948.0, 97.0, 709.0, 36.0], shoonya_5sI66UCG0FPA00, 5752997]
[paragraph, [948.0, 133.0, 709.0, 36.0], shoonya_5sI66UCG0FPA00, 5752997]
[paragraph, [152.0, 100.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 136.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 172.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 208.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 244.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 280.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 316.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 352.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 388.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 424.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 460.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 496.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 532.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 568.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 604.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 640.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 676.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 712.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [152.0, 748.0, 709.0, 36.0], shoonya_0sZX8JOLPP5JCI, 5752997]
[paragraph, [946.0, 220.0, 709.0, 36.0], shoonya_6sJL3A9R5KVTG5, 5752997]
[paragraph, [946.0, 256.0, 709.0, 36.0], shoonya_6sJL3A9R5KVTG5, 5752997]
[paragraph, [946.0, 292.0, 709.0, 36.0], shoonya_6sJL3A9R5KVTG5, 5752997]
[paragraph, [945.0, 459.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 495.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 531.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 567.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 603.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 639.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 675.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 711.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 747.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [945.0, 783.0, 714.0, 36.0], shoonya_7s8YNYZX6LP3KY, 5752997]
[paragraph, [152.0, 848.0, 707.0, 36.0], shoonya_1sFRVBOV2O0MXS, 5752997]
[paragraph, [152.0, 884.0, 707.0, 36.0], shoonya_1sFRVBOV2O0MXS, 5752997]
[paragraph, [152.0, 920.0, 707.0, 36.0], shoonya_1sFRVBOV2O0MXS, 5752997]
[paragraph, [947.0, 850.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 886.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 922.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 958.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 994.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1030.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1066.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1102.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1138.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1174.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1210.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1246.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1282.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [947.0, 1318.0, 714.0, 36.0], shoonya_9sHQS4JTKFDD4X, 5752997]
[paragraph, [152.0, 1015.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1051.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1087.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1123.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1159.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1195.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1231.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1267.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1303.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1339.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [152.0, 1375.0, 708.0, 36.0], shoonya_2sT8C2YXQ47AN0, 5752997]
[paragraph, [947.0, 1417.0, 710.0, 36.0], shoonya_10sUDN9MBKZRJN, 5752997]
[paragraph, [947.0, 1453.0, 710.0, 36.0], shoonya_10sUDN9MBKZRJN, 5752997]
[paragraph, [947.0, 1489.0, 710.0, 36.0], shoonya_10sUDN9MBKZRJN, 5752997]
[paragraph, [947.0, 1525.0, 710.0, 36.0], shoonya_10sUDN9MBKZRJN, 5752997]
[paragraph, [947.0, 1561.0, 710.0, 36.0], shoonya_10sUDN9MBKZRJN, 5752997]
[paragraph, [947.0, 1597.0, 710.0, 36.0], shoonya_10sUDN9MBKZRJN, 5752997]
[paragraph, [947.0, 1633.0, 710.0, 36.0], shoonya_10sUDN9MBKZRJN, 5752997]
[paragraph, [947.0, 1669.0, 710.0, 36.0], shoonya_10sUDN9MBKZRJN, 5752997]
[paragraph, [153.0, 1449.0, 707.0, 36.0], shoonya_3sR9U2QYNF6LOO, 5752997]
[paragraph, [153.0, 1485.0, 707.0, 36.0], shoonya_3sR9U2QYNF6LOO, 5752997]
[paragraph, [153.0, 1521.0, 707.0, 36.0], shoonya_3sR9U2QYNF6LOO, 5752997]
[paragraph, [153.0, 1557.0, 707.0, 36.0], shoonya_3sR9U2QYNF6LOO, 5752997]
[paragraph, [153.0, 1593.0, 707.0, 36.0], shoonya_3sR9U2QYNF6LOO, 5752997]
[paragraph, [153.0, 1629.0, 707.0, 36.0], shoonya_3sR9U2QYNF6LOO, 5752997]
[paragraph, [153.0, 1665.0, 707.0, 36.0], shoonya_3sR9U2QYNF6LOO, 5752997]
