[1728, 1123]
[headline, [260.0, 285.0, 419.0, 37.5], shoonya_0sWOKXKGGPV590, 5753126]
[paragraph, [79.0, 380.0, 780.0, 36.0], 0KhQJynhSl, 5753126]
[paragraph, [79.0, 416.0, 780.0, 36.0], 0KhQJynhSl, 5753126]
[paragraph, [79.0, 452.0, 780.0, 36.0], 0KhQJynhSl, 5753126]
[paragraph, [79.0, 488.0, 780.0, 36.0], 0KhQJynhSl, 5753126]
[paragraph, [79.0, 524.0, 780.0, 36.0], 0KhQJynhSl, 5753126]
[paragraph, [79.0, 560.0, 780.0, 36.0], 0KhQJynhSl, 5753126]
[paragraph, [79.0, 596.0, 780.0, 36.0], 0KhQJynhSl, 5753126]
[paragraph, [81.0, 632.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 668.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 704.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 740.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 776.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 812.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 848.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 884.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 920.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 956.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 992.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 1028.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 1064.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 1100.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 1136.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 1172.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [81.0, 1208.0, 779.0, 36.0], tMQ-NtyF0A, 5753126]
[paragraph, [79.0, 1258.0, 779.0, 36.0], _j6caeKbcL, 5753126]
[paragraph, [79.0, 1294.0, 779.0, 36.0], _j6caeKbcL, 5753126]
[paragraph, [79.0, 1330.0, 779.0, 36.0], _j6caeKbcL, 5753126]
[paragraph, [79.0, 1366.0, 779.0, 36.0], _j6caeKbcL, 5753126]
[paragraph, [79.0, 1402.0, 779.0, 36.0], _j6caeKbcL, 5753126]
[paragraph, [79.0, 1438.0, 779.0, 36.0], _j6caeKbcL, 5753126]
[paragraph, [138.0, 1509.0, 717.0, 36.0], m1kL50sqCC, 5753126]
