[595, 419]
[folio, [147.0, 32.0, 119.0, 18.0], shoonya_0sOH81OGVWHP7Q, 6460291]
[paragraph, [35.0, 68.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [35.0, 86.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [35.0, 104.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [35.0, 122.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [35.0, 140.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [35.0, 158.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [35.0, 176.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [35.0, 194.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [35.0, 212.0, 341.0, 18.0], J9ARlkbOCl, 6460291]
[paragraph, [73.0, 246.0, 253.0, 18.0], oM8l_B8Um4, 6460291]
[paragraph, [73.0, 264.0, 253.0, 18.0], oM8l_B8Um4, 6460291]
[paragraph, [73.0, 282.0, 253.0, 18.0], oM8l_B8Um4, 6460291]
[paragraph, [73.0, 300.0, 253.0, 18.0], oM8l_B8Um4, 6460291]
[paragraph, [73.0, 318.0, 253.0, 18.0], oM8l_B8Um4, 6460291]
[paragraph, [39.0, 343.0, 348.0, 18.0], 38Q4ZdiPD0, 6460291]
[paragraph, [39.0, 361.0, 348.0, 18.0], 38Q4ZdiPD0, 6460291]
[paragraph, [39.0, 379.0, 348.0, 18.0], 38Q4ZdiPD0, 6460291]
[paragraph, [39.0, 397.0, 348.0, 18.0], 38Q4ZdiPD0, 6460291]
[paragraph, [39.0, 415.0, 348.0, 18.0], 38Q4ZdiPD0, 6460291]
[paragraph, [39.0, 433.0, 348.0, 18.0], 38Q4ZdiPD0, 6460291]
[paragraph, [39.0, 451.0, 348.0, 18.0], 38Q4ZdiPD0, 6460291]
[paragraph, [39.0, 469.0, 348.0, 18.0], 38Q4ZdiPD0, 6460291]
[paragraph, [41.0, 491.0, 343.0, 18.0], otvISGxrAy, 6460291]
[paragraph, [41.0, 509.0, 343.0, 18.0], otvISGxrAy, 6460291]
[paragraph, [41.0, 527.0, 343.0, 18.0], otvISGxrAy, 6460291]
