[595, 419]
[folio, [177.0, 29.0, 92.0, 18.0], pahehDKJ7H, 6460457]
[paragraph, [36.0, 66.0, 341.0, 18.0], shoonya_0sIPA9FPZGS4BE, 6460457]
[paragraph, [36.0, 84.0, 341.0, 18.0], shoonya_0sIPA9FPZGS4BE, 6460457]
[paragraph, [61.0, 113.0, 279.0, 18.0], _cVLh-hYq7, 6460457]
[paragraph, [61.0, 131.0, 279.0, 18.0], _cVLh-hYq7, 6460457]
[paragraph, [45.0, 159.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 177.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 195.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 213.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 231.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 249.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 267.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 285.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 303.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 321.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [45.0, 339.0, 337.0, 18.0], KEkUB26V6_, 6460457]
[paragraph, [56.0, 367.0, 312.0, 18.0], shoonya_1sS1K8CZEXPPT3, 6460457]
[paragraph, [56.0, 385.0, 312.0, 18.0], shoonya_1sS1K8CZEXPPT3, 6460457]
[paragraph, [56.0, 403.0, 312.0, 18.0], shoonya_1sS1K8CZEXPPT3, 6460457]
[paragraph, [56.0, 421.0, 312.0, 18.0], shoonya_1sS1K8CZEXPPT3, 6460457]
[paragraph, [48.0, 456.0, 336.0, 18.0], shoonya_2sO1Z3KLEVVHS2, 6460457]
[paragraph, [48.0, 474.0, 336.0, 18.0], shoonya_2sO1Z3KLEVVHS2, 6460457]
[paragraph, [48.0, 492.0, 336.0, 18.0], shoonya_2sO1Z3KLEVVHS2, 6460457]
[paragraph, [48.0, 510.0, 336.0, 18.0], shoonya_2sO1Z3KLEVVHS2, 6460457]
[paragraph, [48.0, 528.0, 336.0, 18.0], shoonya_2sO1Z3KLEVVHS2, 6460457]
