[906, 612]
[folio, [284.0, 28.0, 71.0, 18.0], TLac4kPIHj, 6460314]
[paragraph, [85.0, 84.0, 476.0, 18.0], Z9I0O7ziMG, 6460314]
[paragraph, [85.0, 102.0, 476.0, 18.0], Z9I0O7ziMG, 6460314]
[paragraph, [85.0, 120.0, 476.0, 18.0], Z9I0O7ziMG, 6460314]
[paragraph, [85.0, 138.0, 476.0, 18.0], Z9I0O7ziMG, 6460314]
[paragraph, [85.0, 156.0, 476.0, 18.0], Z9I0O7ziMG, 6460314]
[paragraph, [85.0, 174.0, 476.0, 18.0], Z9I0O7ziMG, 6460314]
[paragraph, [85.0, 192.0, 476.0, 18.0], Z9I0O7ziMG, 6460314]
[paragraph, [83.0, 229.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 247.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 265.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 283.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 301.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 319.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 337.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 355.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 373.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 391.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 409.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 427.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 445.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 463.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 481.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 499.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 517.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 535.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 553.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 571.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 589.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 607.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 625.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 643.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 661.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 679.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 697.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 715.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 733.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 751.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 769.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[paragraph, [83.0, 787.0, 486.0, 18.0], mfDAcveM3T, 6460314]
[jumpline, [289.0, 826.0, 80.0, 18.0], H8lo8kqdBK, 6460314]
