[807, 612]
[folio, [256.0, 117.0, 148.0, 18.0], shoonya_2sRSR2G58Y347O, 6460228]
[paragraph, [163.0, 159.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 177.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 195.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 213.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 231.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 249.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 267.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 285.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 303.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 321.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 339.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 357.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 375.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 393.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 411.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 429.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [163.0, 447.0, 344.0, 18.0], shoonya_0s95DS815517LO, 6460228]
[paragraph, [162.0, 467.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 485.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 503.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 521.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 539.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 557.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 575.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 593.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 611.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 629.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [162.0, 647.0, 345.0, 18.0], shoonya_1s357M3NU0UPGP, 6460228]
[paragraph, [202.0, 683.0, 305.0, 18.0], shoonya_3sYO61ZHE0GL5U, 6460228]
