[814, 624]
[section-title, [89.0, 49.0, 441.0, 30.0], yho1BzukNX, 5690365]
[section-title, [89.0, 79.0, 441.0, 30.0], yho1BzukNX, 5690365]
[unordered-list, [81.0, 163.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 181.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 199.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 217.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 235.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 253.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 271.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 289.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 307.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 325.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[unordered-list, [81.0, 343.0, 460.0, 18.0], shoonya_4s0IOJ2O91LC1J, 5690365]
[sub-unordered-list, [107.0, 257.0, 301.0, 18.0], bwi4rX2-nQ, 5690365]
[sub-unordered-list, [107.0, 275.0, 301.0, 18.0], bwi4rX2-nQ, 5690365]
[sub-unordered-list, [107.0, 293.0, 301.0, 18.0], bwi4rX2-nQ, 5690365]
[paragraph, [79.0, 410.0, 464.0, 18.0], shoonya_1s2MVS8OHQCEH6, 5690365]
[paragraph, [79.0, 428.0, 464.0, 18.0], shoonya_1s2MVS8OHQCEH6, 5690365]
[paragraph, [79.0, 446.0, 464.0, 18.0], shoonya_1s2MVS8OHQCEH6, 5690365]
[paragraph, [107.0, 481.0, 153.0, 18.0], qveT-I4nIk, 5690365]
[paragraph, [106.0, 504.0, 185.0, 18.0], -tzvVmsRiV, 5690365]
[paragraph, [79.0, 528.0, 466.0, 18.0], shoonya_8sHBZVEBQUO89O, 5690365]
[paragraph, [79.0, 546.0, 466.0, 18.0], shoonya_8sHBZVEBQUO89O, 5690365]
[paragraph, [80.0, 573.0, 465.0, 18.0], shoonya_5s0C5FQXQG6685, 5690365]
[paragraph, [80.0, 591.0, 465.0, 18.0], shoonya_5s0C5FQXQG6685, 5690365]
[paragraph, [80.0, 609.0, 465.0, 18.0], shoonya_5s0C5FQXQG6685, 5690365]
[answer, [110.0, 679.0, 423.0, 18.0], u09gVdQB0A, 5690365]
[unordered-list, [109.0, 700.0, 75.0, 18.0], S-gPdtW9uv, 5690365]
