[1267, 753]
[folio, [319.0, 77.0, 104.0, 18.0], shoonya_2sX3K64KV2H06N, 5699929]
[paragraph, [79.0, 122.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 140.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 158.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 176.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 194.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 212.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 230.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 248.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 266.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 284.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 302.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 320.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 338.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 356.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 374.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 392.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 410.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 428.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 446.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 464.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 482.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 500.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 518.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 536.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 554.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 572.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 590.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [79.0, 608.0, 595.0, 18.0], shoonya_1sOIYK29KOSGQB, 5699929]
[paragraph, [78.0, 639.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 657.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 675.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 693.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 711.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 729.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 747.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 765.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 783.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 801.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 819.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 837.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 855.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 873.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 891.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 909.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 927.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 945.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 963.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 981.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 999.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1017.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1035.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1053.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1071.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1089.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1107.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1125.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1143.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
[paragraph, [78.0, 1161.0, 595.0, 18.0], shoonya_0sWG8HXHVBYPSC, 5699929]
