[1162, 749]
[folio, [287.0, 73.0, 155.0, 18.0], shoonya_2s32DM876ZJNSI, 5699639]
[paragraph, [78.0, 119.0, 592.0, 18.0], shoonya_4s585RYYA178W8, 5699639]
[paragraph, [78.0, 137.0, 592.0, 18.0], shoonya_4s585RYYA178W8, 5699639]
[paragraph, [78.0, 155.0, 592.0, 18.0], shoonya_4s585RYYA178W8, 5699639]
[paragraph, [77.0, 191.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 209.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 227.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 245.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 263.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 281.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 299.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 317.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 335.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 353.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 371.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 389.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 407.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 425.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 443.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 461.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 479.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 497.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 515.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 533.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 551.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 569.0, 590.0, 18.0], shoonya_1sB64F5WGPLZNC, 5699639]
[paragraph, [77.0, 605.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 623.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 641.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 659.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 677.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 695.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 713.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 731.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 749.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 767.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 785.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 803.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 821.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 839.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 857.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 875.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 893.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 911.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 929.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [77.0, 947.0, 591.0, 18.0], shoonya_0sY4F8ASUSCEBI, 5699639]
[paragraph, [80.0, 989.0, 592.0, 18.0], shoonya_3sQCISCDBUSQOF, 5699639]
[paragraph, [80.0, 1007.0, 592.0, 18.0], shoonya_3sQCISCDBUSQOF, 5699639]
[paragraph, [80.0, 1025.0, 592.0, 18.0], shoonya_3sQCISCDBUSQOF, 5699639]
[paragraph, [80.0, 1043.0, 592.0, 18.0], shoonya_3sQCISCDBUSQOF, 5699639]
[paragraph, [80.0, 1061.0, 592.0, 18.0], shoonya_3sQCISCDBUSQOF, 5699639]
