[612, 792]
[folio, [64.0, 21.0, 123.0, 18.0], shoonya_0sRFYBBN071XXL, 6534801]
[figure-caption, [64.0, 195.0, 149.0, 18.0], ltKTgbmOmm, 6534801]
[figure-caption, [225.0, 199.0, 149.0, 18.0], CbGigt5gGu, 6534801]
[figure-caption, [390.0, 200.0, 149.0, 18.0], dAKkL3iEpj, 6534801]
[figure-caption, [551.0, 204.0, 149.0, 18.0], 3pYXPH4PEd, 6534801]
[figure-caption, [61.0, 360.0, 149.0, 18.0], O6paMBBFgh, 6534801]
[figure-caption, [222.0, 364.0, 149.0, 18.0], VvuQfI9La7, 6534801]
[figure-caption, [387.0, 365.0, 149.0, 18.0], Sf5p5h-3Zi, 6534801]
[figure-caption, [548.0, 369.0, 149.0, 18.0], cXtpFeGFrA, 6534801]
[figure-caption, [62.0, 526.0, 149.0, 18.0], idSGZAVuk5, 6534801]
[figure-caption, [223.0, 530.0, 149.0, 18.0], dapd7q6PsU, 6534801]
[figure-caption, [388.0, 531.0, 149.0, 18.0], 5wehGFE0HI, 6534801]
[figure-caption, [549.0, 535.0, 149.0, 18.0], QB6tOK07oO, 6534801]
