[1282, 723]
[folio, [575.0, 21.0, 110.0, 18.0], lTp8pGfQud, 5782379]
[folio, [575.0, 39.0, 110.0, 18.0], lTp8pGfQud, 5782379]
[ordered-list, [38.0, 113.0, 650.0, 18.0], QIAlhr_IkA, 5782379]
[ordered-list, [38.0, 131.0, 650.0, 18.0], QIAlhr_IkA, 5782379]
[ordered-list, [38.0, 149.0, 650.0, 18.0], QIAlhr_IkA, 5782379]
[ordered-list, [38.0, 167.0, 650.0, 18.0], QIAlhr_IkA, 5782379]
[ordered-list, [38.0, 185.0, 650.0, 18.0], QIAlhr_IkA, 5782379]
[ordered-list, [38.0, 203.0, 650.0, 18.0], QIAlhr_IkA, 5782379]
[ordered-list, [33.0, 242.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 260.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 278.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 296.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 314.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 332.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 350.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 368.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 386.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 404.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 422.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 440.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 458.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 476.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 494.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 512.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 530.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 548.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 566.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 584.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 602.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 620.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 638.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 656.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[ordered-list, [33.0, 674.0, 663.0, 18.0], XehlCnGzYP, 5782379]
[sub-ordered-list, [40.0, 314.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 332.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 350.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 368.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 386.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 404.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 422.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 440.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 458.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 476.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 494.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 512.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 530.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 548.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 566.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 584.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 602.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 620.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 638.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 656.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[sub-ordered-list, [40.0, 674.0, 649.0, 18.0], shoonya_2sNW6O9F35K4X3, 5782379]
[ordered-list, [29.0, 717.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 735.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 753.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 771.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 789.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 807.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 825.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 843.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 861.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 879.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 897.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 915.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 933.0, 673.0, 18.0], erglE-iGve, 5782379]
[ordered-list, [29.0, 951.0, 673.0, 18.0], erglE-iGve, 5782379]
