[1755, 1241]
[paragraph, [210.0, 110.0, 893.0, 36.0], c7bex2vkez, 5709449]
[paragraph, [210.0, 146.0, 893.0, 36.0], c7bex2vkez, 5709449]
[ordered-list, [131.0, 232.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 268.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 304.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 340.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 376.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 412.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 448.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 484.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 520.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 556.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 592.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 628.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 664.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 700.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 736.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 772.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 808.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 844.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 880.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 916.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 952.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 988.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 1024.0, 975.0, 36.0], LTThS3T18s, 5709449]
[ordered-list, [131.0, 1060.0, 975.0, 36.0], LTThS3T18s, 5709449]
