[1754, 1241]
[paragraph, [594.0, 94.0, 506.0, 36.0], vDz4ZZ_5qo, 5708941]
[paragraph, [594.0, 130.0, 506.0, 36.0], vDz4ZZ_5qo, 5708941]
[paragraph, [594.0, 166.0, 506.0, 36.0], vDz4ZZ_5qo, 5708941]
[paragraph, [594.0, 202.0, 506.0, 36.0], vDz4ZZ_5qo, 5708941]
[section-title, [353.0, 244.0, 537.0, 49.5], 2jI7SQlXZb, 5708941]
[section-title, [353.0, 293.5, 537.0, 49.5], 2jI7SQlXZb, 5708941]
[section-title, [353.0, 343.0, 537.0, 49.5], 2jI7SQlXZb, 5708941]
[paragraph, [133.0, 528.0, 966.0, 36.0], shoonya_1s0X9GCK31YFD4, 5708941]
[paragraph, [133.0, 564.0, 966.0, 36.0], shoonya_1s0X9GCK31YFD4, 5708941]
[paragraph, [133.0, 600.0, 966.0, 36.0], shoonya_1s0X9GCK31YFD4, 5708941]
[paragraph, [133.0, 636.0, 966.0, 36.0], shoonya_1s0X9GCK31YFD4, 5708941]
[paragraph, [133.0, 672.0, 966.0, 36.0], shoonya_1s0X9GCK31YFD4, 5708941]
[paragraph, [133.0, 708.0, 966.0, 36.0], shoonya_1s0X9GCK31YFD4, 5708941]
[paragraph, [133.0, 744.0, 966.0, 36.0], shoonya_1s0X9GCK31YFD4, 5708941]
[paragraph, [133.0, 858.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 894.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 930.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 966.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 1002.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 1038.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 1074.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 1110.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 1146.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[paragraph, [133.0, 1182.0, 960.0, 36.0], shoonya_0sB2WEM019KU2I, 5708941]
[ordered-list, [131.0, 1262.0, 965.0, 36.0], 9weSwHnOqD, 5708941]
[ordered-list, [131.0, 1298.0, 965.0, 36.0], 9weSwHnOqD, 5708941]
[paragraph, [209.0, 1376.0, 520.0, 36.0], shoonya_5sNI2NJ0EWO6M7, 5708941]
[author, [715.0, 1475.0, 176.0, 36.0], f3MRTizLuz, 5708941]
[folio, [545.0, 1521.0, 522.0, 36.0], k0i0mkfCE4, 5708941]
[folio, [545.0, 1557.0, 522.0, 36.0], k0i0mkfCE4, 5708941]
