[2200, 1700]
[paragraph, [370.0, 122.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 158.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 194.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 230.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 266.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 302.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 338.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 374.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 410.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 446.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 482.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 518.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 554.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 590.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 626.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 662.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 698.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 734.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 770.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 806.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 842.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 878.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 914.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [370.0, 950.0, 917.0, 36.0], shoonya_0sEPYLSTQP2HW0, 5661015]
[paragraph, [373.0, 999.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1035.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1071.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1107.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1143.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1179.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1215.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1251.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1287.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1323.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1359.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1395.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1431.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1467.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1503.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1539.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1575.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1611.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
[paragraph, [373.0, 1647.0, 942.0, 36.0], 16V0ZkS4mR, 5661015]
