[2084, 1289]
[paragraph, [121.0, 273.0, 1029.0, 36.0], shoonya_0s594OZWSB6E2J, 5660737]
[paragraph, [121.0, 309.0, 1029.0, 36.0], shoonya_0s594OZWSB6E2J, 5660737]
[paragraph, [121.0, 345.0, 1029.0, 36.0], shoonya_0s594OZWSB6E2J, 5660737]
[paragraph, [121.0, 381.0, 1029.0, 36.0], shoonya_0s594OZWSB6E2J, 5660737]
[paragraph, [121.0, 417.0, 1029.0, 36.0], shoonya_0s594OZWSB6E2J, 5660737]
[paragraph, [121.0, 453.0, 1029.0, 36.0], shoonya_0s594OZWSB6E2J, 5660737]
[paragraph, [121.0, 489.0, 1029.0, 36.0], shoonya_0s594OZWSB6E2J, 5660737]
[paragraph, [121.0, 525.0, 1029.0, 36.0], shoonya_0s594OZWSB6E2J, 5660737]
[section-title, [239.0, 620.0, 769.0, 52.5], 9fwRaJrD1b, 5660737]
[paragraph, [136.0, 711.0, 1015.0, 36.0], shoonya_2s3HUEYQSRSML4, 5660737]
[paragraph, [136.0, 747.0, 1015.0, 36.0], shoonya_2s3HUEYQSRSML4, 5660737]
[paragraph, [136.0, 783.0, 1015.0, 36.0], shoonya_2s3HUEYQSRSML4, 5660737]
[paragraph, [136.0, 819.0, 1015.0, 36.0], shoonya_2s3HUEYQSRSML4, 5660737]
[paragraph, [136.0, 855.0, 1015.0, 36.0], shoonya_2s3HUEYQSRSML4, 5660737]
[paragraph, [136.0, 891.0, 1015.0, 36.0], shoonya_2s3HUEYQSRSML4, 5660737]
[paragraph, [136.0, 927.0, 1015.0, 36.0], shoonya_2s3HUEYQSRSML4, 5660737]
[paragraph, [141.0, 991.0, 1014.0, 36.0], shoonya_1sSRENFWPXIT84, 5660737]
[paragraph, [141.0, 1027.0, 1014.0, 36.0], shoonya_1sSRENFWPXIT84, 5660737]
[paragraph, [141.0, 1063.0, 1014.0, 36.0], shoonya_1sSRENFWPXIT84, 5660737]
[paragraph, [141.0, 1099.0, 1014.0, 36.0], shoonya_1sSRENFWPXIT84, 5660737]
[paragraph, [141.0, 1135.0, 1014.0, 36.0], shoonya_1sSRENFWPXIT84, 5660737]
[paragraph, [141.0, 1171.0, 1014.0, 36.0], shoonya_1sSRENFWPXIT84, 5660737]
[paragraph, [141.0, 1207.0, 1014.0, 36.0], shoonya_1sSRENFWPXIT84, 5660737]
[paragraph, [145.0, 1265.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [145.0, 1301.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [145.0, 1337.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [145.0, 1373.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [145.0, 1409.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [145.0, 1445.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [145.0, 1481.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [145.0, 1517.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [145.0, 1553.0, 1011.0, 36.0], shoonya_4sQ73YC3DL7LV0, 5660737]
[paragraph, [150.0, 1631.0, 1012.0, 36.0], shoonya_3s09EISHU076UP, 5660737]
[paragraph, [150.0, 1667.0, 1012.0, 36.0], shoonya_3s09EISHU076UP, 5660737]
[paragraph, [150.0, 1703.0, 1012.0, 36.0], shoonya_3s09EISHU076UP, 5660737]
[paragraph, [150.0, 1739.0, 1012.0, 36.0], shoonya_3s09EISHU076UP, 5660737]
[paragraph, [150.0, 1775.0, 1012.0, 36.0], shoonya_3s09EISHU076UP, 5660737]
[paragraph, [150.0, 1811.0, 1012.0, 36.0], shoonya_3s09EISHU076UP, 5660737]
[paragraph, [150.0, 1847.0, 1012.0, 36.0], shoonya_3s09EISHU076UP, 5660737]
[folio, [633.0, 1937.0, 654.0, 36.0], shoonya_5sQJB6Z4RK4WI7, 5660737]
[folio, [633.0, 1973.0, 654.0, 36.0], shoonya_5sQJB6Z4RK4WI7, 5660737]
