[842, 595]
[folio, [255.0, 51.0, 81.0, 18.0], vPPxxc8Ste, 5660405]
[headline, [83.0, 80.0, 428.0, 25.5], shoonya_11sQRD1TOI69AF, 5660405]
[paragraph, [46.0, 148.0, 501.0, 18.0], shoonya_4sYSE91UIIVCPX, 5660405]
[paragraph, [46.0, 166.0, 501.0, 18.0], shoonya_4sYSE91UIIVCPX, 5660405]
[paragraph, [46.0, 184.0, 501.0, 18.0], shoonya_4sYSE91UIIVCPX, 5660405]
[paragraph, [46.0, 202.0, 501.0, 18.0], shoonya_4sYSE91UIIVCPX, 5660405]
[paragraph, [46.0, 220.0, 501.0, 18.0], shoonya_4sYSE91UIIVCPX, 5660405]
[paragraph, [81.0, 289.0, 467.0, 18.0], shoonya_0sXM88NUL6QFFC, 5660405]
[paragraph, [81.0, 307.0, 467.0, 18.0], shoonya_0sXM88NUL6QFFC, 5660405]
[paragraph, [81.0, 325.0, 467.0, 18.0], shoonya_0sXM88NUL6QFFC, 5660405]
[paragraph, [81.0, 343.0, 467.0, 18.0], shoonya_0sXM88NUL6QFFC, 5660405]
[paragraph, [81.0, 361.0, 467.0, 18.0], shoonya_0sXM88NUL6QFFC, 5660405]
[paragraph, [81.0, 379.0, 467.0, 18.0], shoonya_0sXM88NUL6QFFC, 5660405]
[unordered-list, [87.0, 461.0, 459.0, 18.0], shoonya_3s75YZBC18CGT6, 5660405]
[unordered-list, [87.0, 479.0, 459.0, 18.0], shoonya_3s75YZBC18CGT6, 5660405]
[unordered-list, [87.0, 497.0, 459.0, 18.0], shoonya_3s75YZBC18CGT6, 5660405]
[paragraph, [83.0, 563.0, 465.0, 18.0], shoonya_2sERFH7HD0UBK6, 5660405]
[paragraph, [83.0, 581.0, 465.0, 18.0], shoonya_2sERFH7HD0UBK6, 5660405]
[paragraph, [83.0, 599.0, 465.0, 18.0], shoonya_2sERFH7HD0UBK6, 5660405]
[paragraph, [83.0, 617.0, 465.0, 18.0], shoonya_2sERFH7HD0UBK6, 5660405]
[paragraph, [83.0, 635.0, 465.0, 18.0], shoonya_2sERFH7HD0UBK6, 5660405]
[paragraph, [83.0, 696.0, 464.0, 18.0], shoonya_1sTCUB6XTI7EHO, 5660405]
[paragraph, [83.0, 714.0, 464.0, 18.0], shoonya_1sTCUB6XTI7EHO, 5660405]
[paragraph, [83.0, 732.0, 464.0, 18.0], shoonya_1sTCUB6XTI7EHO, 5660405]
[paragraph, [83.0, 750.0, 464.0, 18.0], shoonya_1sTCUB6XTI7EHO, 5660405]
