[1650, 1275]
[paragraph, [97.0, 99.0, 1091.0, 36.0], shoonya_3s8FLIGPK2OFT8, 5719669]
[paragraph, [97.0, 135.0, 1091.0, 36.0], shoonya_3s8FLIGPK2OFT8, 5719669]
[paragraph, [97.0, 171.0, 1091.0, 36.0], shoonya_3s8FLIGPK2OFT8, 5719669]
[paragraph, [97.0, 228.0, 1079.0, 36.0], shoonya_1sH0K0KUSXYJJC, 5719669]
[paragraph, [97.0, 264.0, 1079.0, 36.0], shoonya_1sH0K0KUSXYJJC, 5719669]
[paragraph, [97.0, 300.0, 1079.0, 36.0], shoonya_1sH0K0KUSXYJJC, 5719669]
[paragraph, [97.0, 336.0, 1079.0, 36.0], shoonya_1sH0K0KUSXYJJC, 5719669]
[paragraph, [97.0, 372.0, 1079.0, 36.0], shoonya_1sH0K0KUSXYJJC, 5719669]
[paragraph, [97.0, 408.0, 1079.0, 36.0], shoonya_1sH0K0KUSXYJJC, 5719669]
[paragraph, [97.0, 444.0, 1079.0, 36.0], shoonya_1sH0K0KUSXYJJC, 5719669]
[paragraph, [282.0, 623.0, 893.0, 36.0], shoonya_5sNSYOYLKFY84J, 5719669]
[paragraph, [282.0, 659.0, 893.0, 36.0], shoonya_5sNSYOYLKFY84J, 5719669]
[paragraph, [282.0, 695.0, 893.0, 36.0], shoonya_5sNSYOYLKFY84J, 5719669]
[paragraph, [282.0, 731.0, 893.0, 36.0], shoonya_5sNSYOYLKFY84J, 5719669]
[paragraph, [282.0, 767.0, 893.0, 36.0], shoonya_5sNSYOYLKFY84J, 5719669]
[paragraph, [282.0, 803.0, 893.0, 36.0], shoonya_5sNSYOYLKFY84J, 5719669]
[paragraph, [282.0, 839.0, 893.0, 36.0], shoonya_5sNSYOYLKFY84J, 5719669]
[figure-caption, [95.0, 751.0, 156.0, 36.0], KZPbNLG4c9, 5719669]
[paragraph, [281.0, 898.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 934.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 970.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1006.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1042.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1078.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1114.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1150.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1186.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1222.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1258.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
[paragraph, [281.0, 1294.0, 895.0, 36.0], shoonya_6sHOFI566UNRU2, 5719669]
