[1754, 1241]
[paragraph, [140.0, 136.0, 969.0, 36.0], shoonya_1sOW6ONUCTRB1J, 5719384]
[paragraph, [140.0, 172.0, 969.0, 36.0], shoonya_1sOW6ONUCTRB1J, 5719384]
[paragraph, [140.0, 208.0, 969.0, 36.0], shoonya_1sOW6ONUCTRB1J, 5719384]
[paragraph, [140.0, 244.0, 969.0, 36.0], shoonya_1sOW6ONUCTRB1J, 5719384]
[paragraph, [140.0, 280.0, 969.0, 36.0], shoonya_1sOW6ONUCTRB1J, 5719384]
[paragraph, [140.0, 316.0, 969.0, 36.0], shoonya_1sOW6ONUCTRB1J, 5719384]
[paragraph, [140.0, 352.0, 969.0, 36.0], shoonya_1sOW6ONUCTRB1J, 5719384]
[ordered-list, [175.0, 416.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 452.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 488.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 524.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 560.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 596.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 632.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 668.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 704.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 740.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 776.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 812.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
[ordered-list, [175.0, 848.0, 933.0, 36.0], shoonya_2sEK6MYQXC0J63, 5719384]
