[1650, 1275]
[figure-caption, [561.0, 414.0, 151.0, 36.0], shoonya_3sF4TQD59KW38Z, 5730343]
[paragraph, [197.0, 570.0, 852.0, 36.0], YemK5J2DvG, 5730343]
[paragraph, [197.0, 606.0, 852.0, 36.0], YemK5J2DvG, 5730343]
[figure-caption, [562.0, 816.0, 147.0, 36.0], shoonya_6sKG0TJFSFNFRG, 5730343]
[section-title, [214.0, 877.0, 295.0, 49.5], OWN0q84261, 5730343]
[section-title, [214.0, 926.5, 295.0, 49.5], OWN0q84261, 5730343]
[paragraph, [204.0, 981.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1017.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1053.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1089.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1125.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1161.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1197.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1233.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1269.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
[paragraph, [204.0, 1305.0, 858.0, 36.0], FA_1F4IcU7, 5730343]
