[2200, 1700]
[folio, [612.0, 93.0, 467.0, 36.0], fjeWUjUleq, 5739027]
[section-title, [179.0, 189.0, 849.0, 52.5], shoonya_0sQ04ZPZ3KARSO, 5739027]
[paragraph, [193.0, 269.0, 1253.0, 36.0], shoonya_5s1CXCMNOGF0H2, 5739027]
[paragraph, [409.0, 363.0, 313.0, 36.0], R39M27aDIo, 5739027]
[unordered-list, [242.0, 482.0, 560.0, 36.0], xTKKP3UgIh, 5739027]
[unordered-list, [242.0, 518.0, 560.0, 36.0], xTKKP3UgIh, 5739027]
[unordered-list, [242.0, 554.0, 560.0, 36.0], xTKKP3UgIh, 5739027]
[unordered-list, [242.0, 590.0, 560.0, 36.0], xTKKP3UgIh, 5739027]
[unordered-list, [242.0, 626.0, 560.0, 36.0], xTKKP3UgIh, 5739027]
[unordered-list, [242.0, 662.0, 560.0, 36.0], xTKKP3UgIh, 5739027]
[unordered-list, [229.0, 810.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 846.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 882.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 918.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 954.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 990.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 1026.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 1062.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 1098.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 1134.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [229.0, 1170.0, 628.0, 36.0], shoonya_2sN0P6R7HXAN40, 5739027]
[unordered-list, [232.0, 1214.0, 1144.0, 36.0], dLeJ-vO9ZN, 5739027]
[unordered-list, [232.0, 1250.0, 1144.0, 36.0], dLeJ-vO9ZN, 5739027]
[paragraph, [409.0, 1354.0, 1111.0, 36.0], shoonya_4sFTHZJG4E6BOB, 5739027]
[paragraph, [409.0, 1390.0, 1111.0, 36.0], shoonya_4sFTHZJG4E6BOB, 5739027]
[paragraph, [409.0, 1426.0, 1111.0, 36.0], shoonya_4sFTHZJG4E6BOB, 5739027]
[paragraph, [409.0, 1462.0, 1111.0, 36.0], shoonya_4sFTHZJG4E6BOB, 5739027]
[paragraph, [409.0, 1498.0, 1111.0, 36.0], shoonya_4sFTHZJG4E6BOB, 5739027]
