[1754, 1241]
[section-title, [103.0, 139.0, 500.0, 49.5], pxPVr-0uVW, 6477767]
[section-title, [632.0, 142.0, 509.0, 49.5], 0N1H4XCDnd, 6477767]
[section-title, [632.0, 191.5, 509.0, 49.5], 0N1H4XCDnd, 6477767]
[paragraph, [105.0, 218.0, 500.0, 36.0], FrOCOPNDj7, 6477767]
[paragraph, [105.0, 254.0, 500.0, 36.0], FrOCOPNDj7, 6477767]
[ordered-list, [632.0, 261.0, 506.0, 36.0], CKXBm4WvVi, 6477767]
[ordered-list, [632.0, 297.0, 506.0, 36.0], CKXBm4WvVi, 6477767]
[ordered-list, [632.0, 333.0, 506.0, 36.0], CKXBm4WvVi, 6477767]
[ordered-list, [632.0, 369.0, 506.0, 36.0], CKXBm4WvVi, 6477767]
[ordered-list, [632.0, 405.0, 506.0, 36.0], CKXBm4WvVi, 6477767]
[ordered-list, [632.0, 441.0, 506.0, 36.0], CKXBm4WvVi, 6477767]
[ordered-list, [632.0, 477.0, 506.0, 36.0], CKXBm4WvVi, 6477767]
[unordered-list, [110.0, 309.0, 497.0, 36.0], shoonya_0s5LJEIZM9U46Y, 6477767]
[unordered-list, [110.0, 345.0, 497.0, 36.0], shoonya_0s5LJEIZM9U46Y, 6477767]
[unordered-list, [110.0, 381.0, 497.0, 36.0], shoonya_0s5LJEIZM9U46Y, 6477767]
[paragraph, [97.0, 526.0, 506.0, 36.0], 5km8FBj7Xc, 6477767]
[paragraph, [97.0, 562.0, 506.0, 36.0], 5km8FBj7Xc, 6477767]
[paragraph, [97.0, 598.0, 506.0, 36.0], 5km8FBj7Xc, 6477767]
[paragraph, [97.0, 634.0, 506.0, 36.0], 5km8FBj7Xc, 6477767]
[paragraph, [630.0, 551.0, 506.0, 36.0], XfdztYj2hR, 6477767]
[paragraph, [630.0, 587.0, 506.0, 36.0], XfdztYj2hR, 6477767]
[paragraph, [630.0, 623.0, 506.0, 36.0], XfdztYj2hR, 6477767]
[paragraph, [630.0, 659.0, 506.0, 36.0], XfdztYj2hR, 6477767]
[unordered-list, [103.0, 700.0, 505.0, 36.0], mU-wK2yhth, 6477767]
[unordered-list, [103.0, 736.0, 505.0, 36.0], mU-wK2yhth, 6477767]
[unordered-list, [103.0, 772.0, 505.0, 36.0], mU-wK2yhth, 6477767]
[unordered-list, [103.0, 808.0, 505.0, 36.0], mU-wK2yhth, 6477767]
[section-title, [629.0, 740.0, 534.0, 49.5], JGR7pQe8k4, 6477767]
[section-title, [629.0, 789.5, 534.0, 49.5], JGR7pQe8k4, 6477767]
[ordered-list, [639.0, 858.0, 405.0, 36.0], 9-6P7Lcs-P, 6477767]
[ordered-list, [639.0, 894.0, 405.0, 36.0], 9-6P7Lcs-P, 6477767]
[ordered-list, [639.0, 930.0, 405.0, 36.0], 9-6P7Lcs-P, 6477767]
[ordered-list, [639.0, 966.0, 405.0, 36.0], 9-6P7Lcs-P, 6477767]
[paragraph, [116.0, 982.0, 364.0, 36.0], ah9tROInXd, 6477767]
[paragraph, [116.0, 1018.0, 364.0, 36.0], ah9tROInXd, 6477767]
[paragraph, [116.0, 1054.0, 364.0, 36.0], ah9tROInXd, 6477767]
[paragraph, [116.0, 1090.0, 364.0, 36.0], ah9tROInXd, 6477767]
[paragraph, [630.0, 1036.0, 509.0, 36.0], 1BuvqGpC2V, 6477767]
[paragraph, [630.0, 1072.0, 509.0, 36.0], 1BuvqGpC2V, 6477767]
[paragraph, [630.0, 1108.0, 509.0, 36.0], 1BuvqGpC2V, 6477767]
