[1300, 827]
[paragraph, [96.0, 176.0, 621.0, 18.0], KTFXsI8xmS, 5748552]
[paragraph, [96.0, 194.0, 621.0, 18.0], KTFXsI8xmS, 5748552]
[paragraph, [96.0, 212.0, 621.0, 18.0], KTFXsI8xmS, 5748552]
[paragraph, [96.0, 230.0, 621.0, 18.0], KTFXsI8xmS, 5748552]
[paragraph, [96.0, 248.0, 621.0, 18.0], KTFXsI8xmS, 5748552]
[paragraph, [96.0, 266.0, 621.0, 18.0], KTFXsI8xmS, 5748552]
[ordered-list, [74.0, 301.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 319.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 337.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 355.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 373.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 391.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 409.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 427.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 445.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 463.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 481.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 499.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 517.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 535.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 553.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 571.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 589.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 607.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 625.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 643.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 661.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 679.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 697.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 715.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 733.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 751.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 769.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 787.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 805.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 823.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 841.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 859.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 877.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 895.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 913.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 931.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 949.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 967.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 985.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1003.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1021.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1039.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1057.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1075.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1093.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1111.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1129.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1147.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[ordered-list, [74.0, 1165.0, 663.0, 18.0], _uc0kd0Dj_, 5748552]
[sub-ordered-list, [83.0, 1095.0, 641.0, 18.0], 2sEbkxHat0, 5748552]
[sub-ordered-list, [83.0, 1113.0, 641.0, 18.0], 2sEbkxHat0, 5748552]
[sub-ordered-list, [83.0, 1131.0, 641.0, 18.0], 2sEbkxHat0, 5748552]
[sub-ordered-list, [83.0, 1149.0, 641.0, 18.0], 2sEbkxHat0, 5748552]
