[688, 400]
[folio, [88.0, 24.0, 225.0, 18.0], jbfT8HW8E1, 5748563]
[paragraph, [7.0, 59.0, 383.0, 18.0], 7ZrQ08DaVU, 5748563]
[paragraph, [7.0, 77.0, 383.0, 18.0], 7ZrQ08DaVU, 5748563]
[paragraph, [7.0, 95.0, 383.0, 18.0], 7ZrQ08DaVU, 5748563]
[paragraph, [7.0, 113.0, 383.0, 18.0], 7ZrQ08DaVU, 5748563]
[paragraph, [6.0, 137.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 155.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 173.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 191.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 209.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 227.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 245.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 263.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 281.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 299.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 317.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 335.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 353.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 371.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 389.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 407.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 425.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 443.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 461.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 479.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 497.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 515.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 533.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 551.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 569.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [6.0, 587.0, 381.0, 18.0], 28Z-ylj0KC, 5748563]
[paragraph, [13.0, 621.0, 374.0, 18.0], aZ65Nblhgn, 5748563]
[paragraph, [13.0, 639.0, 374.0, 18.0], aZ65Nblhgn, 5748563]
