[842, 596]
[paragraph, [67.0, 76.0, 462.0, 18.0], shoonya_3sV59AL0QCROLK, 5749036]
[paragraph, [67.0, 94.0, 462.0, 18.0], shoonya_3sV59AL0QCROLK, 5749036]
[paragraph, [66.0, 172.0, 470.0, 18.0], No9JqVlHBs, 5749036]
[paragraph, [66.0, 190.0, 470.0, 18.0], No9JqVlHBs, 5749036]
[paragraph, [66.0, 208.0, 470.0, 18.0], No9JqVlHBs, 5749036]
[section-title, [64.0, 260.0, 469.0, 30.0], isTzNFRbK8, 5749036]
[paragraph, [66.0, 324.0, 460.0, 18.0], shoonya_1sYB2OFU5ZBYIH, 5749036]
[paragraph, [66.0, 342.0, 460.0, 18.0], shoonya_1sYB2OFU5ZBYIH, 5749036]
[paragraph, [66.0, 360.0, 460.0, 18.0], shoonya_1sYB2OFU5ZBYIH, 5749036]
[paragraph, [66.0, 378.0, 460.0, 18.0], shoonya_1sYB2OFU5ZBYIH, 5749036]
[paragraph, [66.0, 396.0, 460.0, 18.0], shoonya_1sYB2OFU5ZBYIH, 5749036]
[section-title, [66.0, 438.0, 461.0, 30.0], shoonya_4sVEA8PBI0DFYQ, 5749036]
[section-title, [66.0, 468.0, 461.0, 30.0], shoonya_4sVEA8PBI0DFYQ, 5749036]
[paragraph, [65.0, 526.0, 464.0, 18.0], shoonya_0sH5NXDQJAI909, 5749036]
[paragraph, [65.0, 544.0, 464.0, 18.0], shoonya_0sH5NXDQJAI909, 5749036]
[paragraph, [65.0, 562.0, 464.0, 18.0], shoonya_0sH5NXDQJAI909, 5749036]
[paragraph, [65.0, 580.0, 464.0, 18.0], shoonya_0sH5NXDQJAI909, 5749036]
[paragraph, [65.0, 598.0, 464.0, 18.0], shoonya_0sH5NXDQJAI909, 5749036]
[section-title, [63.0, 657.0, 347.0, 30.0], 7ifFdN22ac, 5749036]
[paragraph, [65.0, 712.0, 469.0, 18.0], _VYZUQU-s1, 5749036]
[paragraph, [65.0, 730.0, 469.0, 18.0], _VYZUQU-s1, 5749036]
