[842, 596]
[folio, [64.0, 32.0, 89.0, 18.0], shoonya_3sX0VSTJCRJNWP, 6464707]
[website-link, [400.0, 35.0, 142.0, 18.0], Wgd5Crr7QY, 6464707]
[paragraph, [136.0, 70.0, 309.0, 18.0], y_DgwFUzz1, 6464707]
[paragraph, [136.0, 88.0, 309.0, 18.0], y_DgwFUzz1, 6464707]
[paragraph, [136.0, 106.0, 309.0, 18.0], y_DgwFUzz1, 6464707]
[paragraph, [128.0, 132.0, 281.0, 18.0], _raTHNfF_Z, 6464707]
[paragraph, [128.0, 150.0, 281.0, 18.0], _raTHNfF_Z, 6464707]
[paragraph, [128.0, 168.0, 281.0, 18.0], _raTHNfF_Z, 6464707]
[paragraph, [127.0, 194.0, 308.0, 18.0], Y3diPDwrP-, 6464707]
[paragraph, [127.0, 212.0, 308.0, 18.0], Y3diPDwrP-, 6464707]
[paragraph, [127.0, 230.0, 308.0, 18.0], Y3diPDwrP-, 6464707]
[paragraph, [127.0, 248.0, 308.0, 18.0], Y3diPDwrP-, 6464707]
[paragraph, [128.0, 266.0, 313.0, 18.0], 8XnUv1_IcX, 6464707]
[paragraph, [128.0, 284.0, 313.0, 18.0], 8XnUv1_IcX, 6464707]
[paragraph, [128.0, 302.0, 313.0, 18.0], 8XnUv1_IcX, 6464707]
[paragraph, [129.0, 335.0, 314.0, 18.0], pAoKHXvyHv, 6464707]
[paragraph, [129.0, 353.0, 314.0, 18.0], pAoKHXvyHv, 6464707]
[paragraph, [129.0, 371.0, 314.0, 18.0], pAoKHXvyHv, 6464707]
[paragraph, [127.0, 401.0, 328.0, 18.0], q3iROMwYo7, 6464707]
[paragraph, [127.0, 419.0, 328.0, 18.0], q3iROMwYo7, 6464707]
[paragraph, [127.0, 437.0, 328.0, 18.0], q3iROMwYo7, 6464707]
[paragraph, [127.0, 455.0, 328.0, 18.0], q3iROMwYo7, 6464707]
[paragraph, [120.0, 473.0, 306.0, 18.0], _ObCm8qSv8, 6464707]
[paragraph, [120.0, 491.0, 306.0, 18.0], _ObCm8qSv8, 6464707]
[paragraph, [120.0, 509.0, 306.0, 18.0], _ObCm8qSv8, 6464707]
[paragraph, [125.0, 543.0, 287.0, 18.0], janI75pqNT, 6464707]
[paragraph, [125.0, 579.0, 259.0, 18.0], l0hccSrjyP, 6464707]
[paragraph, [131.0, 615.0, 279.0, 18.0], xxvyBq1Cii, 6464707]
[paragraph, [131.0, 633.0, 279.0, 18.0], xxvyBq1Cii, 6464707]
[paragraph, [131.0, 651.0, 279.0, 18.0], xxvyBq1Cii, 6464707]
[paragraph, [124.0, 685.0, 283.0, 18.0], b4UDsrGlTU, 6464707]
