[1684, 1191]
[folio, [372.0, 90.0, 395.0, 36.0], Nra9-LQeX7, 6463991]
[paragraph, [88.0, 195.0, 957.0, 36.0], shoonya_0s5RHDJC7250OF, 6463991]
[paragraph, [88.0, 231.0, 957.0, 36.0], shoonya_0s5RHDJC7250OF, 6463991]
[paragraph, [88.0, 267.0, 957.0, 36.0], shoonya_0s5RHDJC7250OF, 6463991]
[paragraph, [88.0, 303.0, 957.0, 36.0], shoonya_0s5RHDJC7250OF, 6463991]
[paragraph, [88.0, 339.0, 957.0, 36.0], shoonya_0s5RHDJC7250OF, 6463991]
[paragraph, [80.0, 423.0, 782.0, 36.0], cho2SxlgZj, 6463991]
[paragraph, [80.0, 459.0, 782.0, 36.0], cho2SxlgZj, 6463991]
[paragraph, [80.0, 495.0, 782.0, 36.0], cho2SxlgZj, 6463991]
[paragraph, [83.0, 569.0, 991.0, 36.0], _31jsvoyzR, 6463991]
[paragraph, [83.0, 605.0, 991.0, 36.0], _31jsvoyzR, 6463991]
[paragraph, [83.0, 641.0, 991.0, 36.0], _31jsvoyzR, 6463991]
[paragraph, [83.0, 677.0, 991.0, 36.0], _31jsvoyzR, 6463991]
[section-title, [295.0, 768.0, 553.0, 49.5], VG8Oc1ttdG, 6463991]
[paragraph, [68.0, 862.0, 997.0, 36.0], 5brZJFYVe9, 6463991]
[paragraph, [68.0, 898.0, 997.0, 36.0], 5brZJFYVe9, 6463991]
[paragraph, [68.0, 934.0, 997.0, 36.0], 5brZJFYVe9, 6463991]
[paragraph, [68.0, 970.0, 997.0, 36.0], 5brZJFYVe9, 6463991]
[paragraph, [68.0, 1006.0, 997.0, 36.0], 5brZJFYVe9, 6463991]
[paragraph, [68.0, 1042.0, 997.0, 36.0], 5brZJFYVe9, 6463991]
[paragraph, [68.0, 1093.0, 772.0, 36.0], F2rrYx29N3, 6463991]
[paragraph, [68.0, 1129.0, 772.0, 36.0], F2rrYx29N3, 6463991]
[paragraph, [68.0, 1165.0, 772.0, 36.0], F2rrYx29N3, 6463991]
[paragraph, [68.0, 1201.0, 772.0, 36.0], F2rrYx29N3, 6463991]
[paragraph, [74.0, 1259.0, 1021.0, 36.0], 4HN0Jy4cqH, 6463991]
[paragraph, [74.0, 1295.0, 1021.0, 36.0], 4HN0Jy4cqH, 6463991]
[paragraph, [74.0, 1331.0, 1021.0, 36.0], 4HN0Jy4cqH, 6463991]
[paragraph, [74.0, 1367.0, 1021.0, 36.0], 4HN0Jy4cqH, 6463991]
[paragraph, [74.0, 1403.0, 1021.0, 36.0], 4HN0Jy4cqH, 6463991]
[paragraph, [74.0, 1439.0, 1021.0, 36.0], 4HN0Jy4cqH, 6463991]
