[1650, 934]
[folio, [384.0, 107.0, 249.0, 36.0], shoonya_2sUCC99C2YCK7U, 5766443]
[paragraph, [111.0, 231.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 267.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 303.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 339.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 375.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 411.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 447.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 483.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 519.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 555.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 591.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 627.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 663.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 699.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 735.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 771.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 807.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 843.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 879.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 915.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 951.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 987.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 1023.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 1059.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 1095.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[paragraph, [111.0, 1131.0, 790.0, 36.0], shoonya_0sHL2BX30V8Y1W, 5766443]
[ordered-list, [108.0, 1171.0, 791.0, 36.0], ZDnS7EvEAw, 5766443]
[ordered-list, [108.0, 1207.0, 791.0, 36.0], ZDnS7EvEAw, 5766443]
[ordered-list, [108.0, 1243.0, 791.0, 36.0], ZDnS7EvEAw, 5766443]
[ordered-list, [108.0, 1279.0, 791.0, 36.0], ZDnS7EvEAw, 5766443]
[ordered-list, [108.0, 1315.0, 791.0, 36.0], ZDnS7EvEAw, 5766443]
[ordered-list, [108.0, 1351.0, 791.0, 36.0], ZDnS7EvEAw, 5766443]
[ordered-list, [108.0, 1387.0, 791.0, 36.0], ZDnS7EvEAw, 5766443]
[ordered-list, [108.0, 1423.0, 791.0, 36.0], ZDnS7EvEAw, 5766443]
