[853, 552]
[paragraph, [50.0, 80.0, 455.0, 18.0], GkAsSau3Sn, 5773542]
[paragraph, [50.0, 98.0, 455.0, 18.0], GkAsSau3Sn, 5773542]
[paragraph, [50.0, 116.0, 455.0, 18.0], GkAsSau3Sn, 5773542]
[paragraph, [50.0, 134.0, 455.0, 18.0], GkAsSau3Sn, 5773542]
[paragraph, [50.0, 152.0, 455.0, 18.0], GkAsSau3Sn, 5773542]
[paragraph, [50.0, 170.0, 455.0, 18.0], GkAsSau3Sn, 5773542]
[paragraph, [50.0, 188.0, 455.0, 18.0], GkAsSau3Sn, 5773542]
[paragraph, [43.0, 211.0, 466.0, 18.0], 8IdARwQu3k, 5773542]
[paragraph, [43.0, 229.0, 466.0, 18.0], 8IdARwQu3k, 5773542]
[paragraph, [43.0, 247.0, 466.0, 18.0], 8IdARwQu3k, 5773542]
[figure-caption, [185.0, 538.0, 172.0, 18.0], QGGBCVSC5j, 5773542]
[figure-caption, [185.0, 556.0, 172.0, 18.0], QGGBCVSC5j, 5773542]
[paragraph, [58.0, 572.0, 442.0, 18.0], zNaMKMeVZN, 5773542]
[paragraph, [58.0, 590.0, 442.0, 18.0], zNaMKMeVZN, 5773542]
[paragraph, [58.0, 608.0, 442.0, 18.0], zNaMKMeVZN, 5773542]
[paragraph, [49.0, 626.0, 459.0, 18.0], 1EAZCOc-9m, 5773542]
[paragraph, [49.0, 644.0, 459.0, 18.0], 1EAZCOc-9m, 5773542]
[paragraph, [49.0, 662.0, 459.0, 18.0], 1EAZCOc-9m, 5773542]
[paragraph, [49.0, 680.0, 459.0, 18.0], 1EAZCOc-9m, 5773542]
