[3508, 2481]
[contact-info, [694.0, 105.0, 1100.0, 52.5], 5qNBc22UZM, 6491076]
[contact-info, [694.0, 157.5, 1100.0, 52.5], 5qNBc22UZM, 6491076]
[headline, [1091.0, 275.0, 291.0, 52.5], 6R2jvVhv7W, 6491076]
[headline, [1091.0, 327.5, 291.0, 52.5], 6R2jvVhv7W, 6491076]
[sub-headline, [226.0, 506.0, 1208.0, 73.5], shoonya_5sYNXOBAPVQGQW, 6491076]
[placeholder-text, [217.0, 768.0, 268.0, 18.0], 8wJU88qIFN, 6491076]
[placeholder-text, [217.0, 786.0, 268.0, 18.0], 8wJU88qIFN, 6491076]
[placeholder-text, [217.0, 804.0, 268.0, 18.0], 8wJU88qIFN, 6491076]
[paragraph, [223.0, 1022.0, 462.0, 52.5], FSzOFs8Tuo, 6491076]
[paragraph, [220.0, 1138.0, 2081.0, 52.5], shoonya_1s4N1BYJ7CGE49, 6491076]
[paragraph, [220.0, 1190.5, 2081.0, 52.5], shoonya_1s4N1BYJ7CGE49, 6491076]
[paragraph, [220.0, 1243.0, 2081.0, 52.5], shoonya_1s4N1BYJ7CGE49, 6491076]
[paragraph, [220.0, 1295.5, 2081.0, 52.5], shoonya_1s4N1BYJ7CGE49, 6491076]
[paragraph, [220.0, 1348.0, 2081.0, 52.5], shoonya_1s4N1BYJ7CGE49, 6491076]
[paragraph, [220.0, 1400.5, 2081.0, 52.5], shoonya_1s4N1BYJ7CGE49, 6491076]
[unordered-list, [283.0, 1544.0, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 1596.5, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 1649.0, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 1701.5, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 1754.0, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 1806.5, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 1859.0, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 1911.5, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 1964.0, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 2016.5, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 2069.0, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 2121.5, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[unordered-list, [283.0, 2174.0, 2033.0, 52.5], shoonya_0sK14SD4JJ8LPT, 6491076]
[footnote, [2003.0, 2370.0, 257.0, 52.5], 3cMAtxIkYp, 6491076]
[footnote, [2003.0, 2422.5, 257.0, 52.5], 3cMAtxIkYp, 6491076]
[footnote, [2003.0, 2475.0, 257.0, 52.5], 3cMAtxIkYp, 6491076]
[contact-info, [1777.0, 2556.0, 493.0, 52.5], TsfAZrF9oZ, 6491076]
[contact-info, [1777.0, 2608.5, 493.0, 52.5], TsfAZrF9oZ, 6491076]
[contact-info, [1752.0, 3266.0, 530.0, 52.5], IxyKiKaTNK, 6491076]
[contact-info, [1752.0, 3318.5, 530.0, 52.5], IxyKiKaTNK, 6491076]
