[3314, 2024]
[folio, [1566.0, 127.0, 243.0, 52.5], teG75_z-zw, 5697349]
[contact-info, [772.0, 240.0, 460.0, 52.5], shoonya_7sWONNMQMPPKL0, 5697349]
[contact-info, [772.0, 292.5, 460.0, 52.5], shoonya_7sWONNMQMPPKL0, 5697349]
[contact-info, [772.0, 345.0, 460.0, 52.5], shoonya_7sWONNMQMPPKL0, 5697349]
[contact-info, [772.0, 397.5, 460.0, 52.5], shoonya_7sWONNMQMPPKL0, 5697349]
[website-link, [849.0, 402.0, 306.0, 18.0], qN3q3mAyec, 5697349]
[website-link, [849.0, 420.0, 306.0, 18.0], qN3q3mAyec, 5697349]
[dateline, [1402.0, 462.0, 390.0, 52.5], shoonya_5sTJJG83E59TTO, 5697349]
[folio, [210.0, 471.0, 757.0, 52.5], shoonya_12s0ITW5SEADI4, 5697349]
[paragraph, [210.0, 551.0, 1609.0, 52.5], i6HRigbbNW, 5697349]
[paragraph, [210.0, 603.5, 1609.0, 52.5], i6HRigbbNW, 5697349]
[paragraph, [208.0, 678.0, 1484.0, 52.5], shoonya_9sEAK1CEXFOXYY, 5697349]
[paragraph, [208.0, 773.0, 1621.0, 52.5], shoonya_0sVLVY0C3H51UE, 5697349]
[paragraph, [208.0, 825.5, 1621.0, 52.5], shoonya_0sVLVY0C3H51UE, 5697349]
[paragraph, [208.0, 878.0, 1621.0, 52.5], shoonya_0sVLVY0C3H51UE, 5697349]
[paragraph, [208.0, 930.5, 1621.0, 52.5], shoonya_0sVLVY0C3H51UE, 5697349]
[paragraph, [208.0, 983.0, 1621.0, 52.5], shoonya_0sVLVY0C3H51UE, 5697349]
[paragraph, [208.0, 1035.5, 1621.0, 52.5], shoonya_0sVLVY0C3H51UE, 5697349]
[paragraph, [201.0, 1105.0, 1623.0, 52.5], shoonya_10sBYJEEGTRS7D, 5697349]
[paragraph, [201.0, 1157.5, 1623.0, 52.5], shoonya_10sBYJEEGTRS7D, 5697349]
[paragraph, [201.0, 1210.0, 1623.0, 52.5], shoonya_10sBYJEEGTRS7D, 5697349]
[sidebar, [216.0, 1315.0, 702.0, 52.5], shoonya_3sY5GAQKIKXTA3, 5697349]
[sidebar, [216.0, 1367.5, 702.0, 52.5], shoonya_3sY5GAQKIKXTA3, 5697349]
[contact-info, [1258.0, 1496.0, 603.0, 52.5], skJYvmGsjA, 5697349]
[contact-info, [1258.0, 1548.5, 603.0, 52.5], skJYvmGsjA, 5697349]
[contact-info, [1258.0, 1601.0, 603.0, 52.5], skJYvmGsjA, 5697349]
[contact-info, [1258.0, 1653.5, 603.0, 52.5], skJYvmGsjA, 5697349]
[ordered-list, [209.0, 1745.0, 934.0, 52.5], shoonya_14sF4OTGN6QPQM, 5697349]
[ordered-list, [209.0, 1797.5, 934.0, 52.5], shoonya_14sF4OTGN6QPQM, 5697349]
[ordered-list, [209.0, 1850.0, 934.0, 52.5], shoonya_14sF4OTGN6QPQM, 5697349]
[paragraph, [213.0, 1947.0, 1374.0, 52.5], shoonya_8sBQZNLHAJJI7K, 5697349]
[ordered-list, [218.0, 2004.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2056.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2109.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2161.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2214.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2266.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2319.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2371.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2424.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2476.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2529.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2581.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2634.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2686.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2739.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2791.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2844.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2896.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 2949.0, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
[ordered-list, [218.0, 3001.5, 1489.0, 52.5], shoonya_11sUIFS6QVWDVX, 5697349]
