[2640, 2040]
[paragraph, [234.0, 437.0, 940.0, 46.5], shoonya_0s8110V1JYRU1X, 5697550]
[author, [1205.0, 565.0, 538.0, 46.5], shoonya_2s8U3R9QHMGZNU, 5697550]
[author, [1205.0, 611.5, 538.0, 46.5], shoonya_2s8U3R9QHMGZNU, 5697550]
[author, [1205.0, 658.0, 538.0, 46.5], shoonya_2s8U3R9QHMGZNU, 5697550]
[author, [1205.0, 704.5, 538.0, 46.5], shoonya_2s8U3R9QHMGZNU, 5697550]
[contact-info, [1162.0, 777.0, 583.0, 46.5], fYpdjgAwk1, 5697550]
[ordered-list, [246.0, 946.0, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 992.5, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1039.0, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1085.5, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1132.0, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1178.5, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1225.0, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1271.5, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1318.0, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1364.5, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1411.0, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1457.5, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
[ordered-list, [246.0, 1504.0, 1580.0, 46.5], shoonya_3sAOTODA7Z96WG, 5697550]
