[3508, 2481]
[contact-info, [179.0, 108.0, 1995.0, 52.5], shoonya_0sXL44FNWJ6G8D, 6534535]
[contact-info, [179.0, 160.5, 1995.0, 52.5], shoonya_0sXL44FNWJ6G8D, 6534535]
[contact-info, [179.0, 213.0, 1995.0, 52.5], shoonya_0sXL44FNWJ6G8D, 6534535]
[contact-info, [179.0, 265.5, 1995.0, 52.5], shoonya_0sXL44FNWJ6G8D, 6534535]
[contact-info, [179.0, 318.0, 1995.0, 52.5], shoonya_0sXL44FNWJ6G8D, 6534535]
[contact-info, [179.0, 370.5, 1995.0, 52.5], shoonya_0sXL44FNWJ6G8D, 6534535]
[website-link, [1715.0, 394.0, 421.0, 18.0], cqu_mQDUMQ, 6534535]
[website-link, [1715.0, 412.0, 421.0, 18.0], cqu_mQDUMQ, 6534535]
[website-link, [1715.0, 430.0, 421.0, 18.0], cqu_mQDUMQ, 6534535]
[website-link, [1715.0, 448.0, 421.0, 18.0], cqu_mQDUMQ, 6534535]
[section-title, [1010.0, 506.0, 441.0, 93.0], 5_qMPVK-dP, 6534535]
[sub-section-title, [215.0, 729.0, 960.0, 73.5], OvX-PKROU-, 6534535]
[placeholder-text, [1992.0, 992.0, 256.0, 18.0], 9VsevMMw6W, 6534535]
[placeholder-text, [1992.0, 1010.0, 256.0, 18.0], 9VsevMMw6W, 6534535]
[placeholder-text, [1992.0, 1028.0, 256.0, 18.0], 9VsevMMw6W, 6534535]
[placeholder-text, [1992.0, 1046.0, 256.0, 18.0], 9VsevMMw6W, 6534535]
[paragraph, [222.0, 1245.0, 312.0, 52.5], 1hUsQKA7_t, 6534535]
[paragraph, [225.0, 1370.0, 2030.0, 52.5], 7hKNSwK0UX, 6534535]
[paragraph, [225.0, 1422.5, 2030.0, 52.5], 7hKNSwK0UX, 6534535]
[paragraph, [225.0, 1475.0, 2030.0, 52.5], 7hKNSwK0UX, 6534535]
[paragraph, [225.0, 1527.5, 2030.0, 52.5], 7hKNSwK0UX, 6534535]
[paragraph, [225.0, 1580.0, 2030.0, 52.5], 7hKNSwK0UX, 6534535]
[paragraph, [225.0, 1632.5, 2030.0, 52.5], 7hKNSwK0UX, 6534535]
[ordered-list, [272.0, 1780.0, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[ordered-list, [272.0, 1832.5, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[ordered-list, [272.0, 1885.0, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[ordered-list, [272.0, 1937.5, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[ordered-list, [272.0, 1990.0, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[ordered-list, [272.0, 2042.5, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[ordered-list, [272.0, 2095.0, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[ordered-list, [272.0, 2147.5, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[ordered-list, [272.0, 2200.0, 1983.0, 52.5], 3Jw-lYfjd_, 6534535]
[paragraph, [1905.0, 2669.0, 353.0, 52.5], wvrArQdimt, 6534535]
[contact-info, [951.0, 3282.0, 560.0, 52.5], 6_VRKRR-om, 6534535]
