[3508, 2481]
[paragraph, [209.0, 97.0, 2051.0, 52.5], shoonya_0s70LYUD2GE41B, 6534742]
[paragraph, [209.0, 149.5, 2051.0, 52.5], shoonya_0s70LYUD2GE41B, 6534742]
[paragraph, [209.0, 202.0, 2051.0, 52.5], shoonya_0s70LYUD2GE41B, 6534742]
[paragraph, [209.0, 254.5, 2051.0, 52.5], shoonya_0s70LYUD2GE41B, 6534742]
[paragraph, [218.0, 400.0, 2044.0, 52.5], shoonya_1s7SWIQSP7VJKG, 6534742]
[paragraph, [218.0, 452.5, 2044.0, 52.5], shoonya_1s7SWIQSP7VJKG, 6534742]
[paragraph, [218.0, 505.0, 2044.0, 52.5], shoonya_1s7SWIQSP7VJKG, 6534742]
[paragraph, [218.0, 557.5, 2044.0, 52.5], shoonya_1s7SWIQSP7VJKG, 6534742]
[paragraph, [218.0, 610.0, 2044.0, 52.5], shoonya_1s7SWIQSP7VJKG, 6534742]
[paragraph, [218.0, 662.5, 2044.0, 52.5], shoonya_1s7SWIQSP7VJKG, 6534742]
[paragraph, [218.0, 715.0, 2044.0, 52.5], shoonya_1s7SWIQSP7VJKG, 6534742]
[paragraph, [218.0, 767.5, 2044.0, 52.5], shoonya_1s7SWIQSP7VJKG, 6534742]
[paragraph, [213.0, 881.0, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 933.5, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 986.0, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1038.5, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1091.0, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1143.5, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1196.0, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1248.5, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1301.0, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1353.5, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1406.0, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1458.5, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1511.0, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[paragraph, [213.0, 1563.5, 2044.0, 52.5], shoonya_2sXMCUK80LY5LA, 6534742]
[figure-caption, [206.0, 1972.0, 357.0, 52.5], shoonya_3sUR4161FJWAVL, 6534742]
[contact-info, [213.0, 3276.0, 570.0, 52.5], shoonya_4sJ7TDN8QVW4T9, 6534742]
[contact-info, [213.0, 3328.5, 570.0, 52.5], shoonya_4sJ7TDN8QVW4T9, 6534742]
