[864, 612]
[ordered-list, [60.0, 64.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 82.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 100.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 118.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 136.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 154.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 172.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 190.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 208.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 226.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 244.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 262.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 280.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 298.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 316.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 334.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 352.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 370.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 388.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 406.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 424.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 442.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 460.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 478.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 496.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 514.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 532.0, 495.0, 18.0], 4b87el0htb, 5717451]
[ordered-list, [60.0, 550.0, 495.0, 18.0], 4b87el0htb, 5717451]
