[1755, 1240]
[headline, [263.0, 243.0, 689.0, 37.5], shoonya_2s5TEMJDGH5OW6, 6475064]
[paragraph, [66.0, 295.0, 1093.0, 36.0], shoonya_0s1G5OTP15O41T, 6475064]
[paragraph, [66.0, 331.0, 1093.0, 36.0], shoonya_0s1G5OTP15O41T, 6475064]
[paragraph, [66.0, 367.0, 1093.0, 36.0], shoonya_0s1G5OTP15O41T, 6475064]
[paragraph, [66.0, 403.0, 1093.0, 36.0], shoonya_0s1G5OTP15O41T, 6475064]
[paragraph, [66.0, 439.0, 1093.0, 36.0], shoonya_0s1G5OTP15O41T, 6475064]
[paragraph, [66.0, 475.0, 1093.0, 36.0], shoonya_0s1G5OTP15O41T, 6475064]
[paragraph, [66.0, 511.0, 1093.0, 36.0], shoonya_0s1G5OTP15O41T, 6475064]
[footnote, [870.0, 557.0, 282.0, 36.0], shoonya_1s0BS1E850J4Z6, 6475064]
[footnote, [870.0, 593.0, 282.0, 36.0], shoonya_1s0BS1E850J4Z6, 6475064]
[footnote, [870.0, 629.0, 282.0, 36.0], shoonya_1s0BS1E850J4Z6, 6475064]
[footnote, [870.0, 665.0, 282.0, 36.0], shoonya_1s0BS1E850J4Z6, 6475064]
