[1650, 1275]
[contact-info, [331.0, 178.0, 594.0, 36.0], fx89tj_ayB, 6475475]
[contact-info, [331.0, 214.0, 594.0, 36.0], fx89tj_ayB, 6475475]
[contact-info, [331.0, 250.0, 594.0, 36.0], fx89tj_ayB, 6475475]
[contact-info, [331.0, 286.0, 594.0, 36.0], fx89tj_ayB, 6475475]
[folio, [122.0, 345.0, 256.0, 36.0], R4KJHfWiUC, 6475475]
[folio, [111.0, 387.0, 202.0, 36.0], MemIyGmdLX, 6475475]
[paragraph, [119.0, 454.0, 655.0, 36.0], qwhpfP53ah, 6475475]
[paragraph, [116.0, 498.0, 728.0, 36.0], 8f7WJOKGul, 6475475]
[paragraph, [108.0, 538.0, 650.0, 36.0], pfd3o0HcQh, 6475475]
[paragraph, [103.0, 585.0, 594.0, 36.0], XsXlesbPSQ, 6475475]
[paragraph, [106.0, 626.0, 605.0, 36.0], q2q4mZJ7Jg, 6475475]
[paragraph, [103.0, 672.0, 446.0, 36.0], L04c5UbBzY, 6475475]
[paragraph, [100.0, 813.0, 1112.0, 36.0], Nfj0oRvz8u, 6475475]
[paragraph, [100.0, 849.0, 1112.0, 36.0], Nfj0oRvz8u, 6475475]
[paragraph, [100.0, 885.0, 1112.0, 36.0], Nfj0oRvz8u, 6475475]
[paragraph, [100.0, 921.0, 1112.0, 36.0], Nfj0oRvz8u, 6475475]
[contact-info, [890.0, 1103.0, 245.0, 36.0], mTsfQy3Ysz, 6475475]
[contact-info, [890.0, 1139.0, 245.0, 36.0], mTsfQy3Ysz, 6475475]
[contact-info, [890.0, 1175.0, 245.0, 36.0], mTsfQy3Ysz, 6475475]
[contact-info, [890.0, 1211.0, 245.0, 36.0], mTsfQy3Ysz, 6475475]
[sub-section-title, [95.0, 1170.0, 92.0, 36.0], _cQLpkfCQ2, 6475475]
[paragraph, [97.0, 1217.0, 406.0, 36.0], F-H9tY_u40, 6475475]
[paragraph, [98.0, 1261.0, 465.0, 36.0], UF-Qj0AUl_, 6475475]
