[3282, 2250]
[paragraph, [279.0, 424.0, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 476.5, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 529.0, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 581.5, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 634.0, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 686.5, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 739.0, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 791.5, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 844.0, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 896.5, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 949.0, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 1001.5, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 1054.0, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 1106.5, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 1159.0, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [279.0, 1211.5, 1773.0, 52.5], shoonya_0s23OEO6O73GY9, 5756459]
[paragraph, [291.0, 1302.0, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[paragraph, [291.0, 1354.5, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[paragraph, [291.0, 1407.0, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[paragraph, [291.0, 1459.5, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[paragraph, [291.0, 1512.0, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[paragraph, [291.0, 1564.5, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[paragraph, [291.0, 1617.0, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[paragraph, [291.0, 1669.5, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[paragraph, [291.0, 1722.0, 1765.0, 52.5], shoonya_4s9824HNNAPX2N, 5756459]
[figure-caption, [1359.0, 1829.0, 659.0, 52.5], Vgms_gGrvc, 5756459]
[figure-caption, [1359.0, 1881.5, 659.0, 52.5], Vgms_gGrvc, 5756459]
[figure-caption, [1359.0, 1934.0, 659.0, 52.5], Vgms_gGrvc, 5756459]
[figure-caption, [1359.0, 1986.5, 659.0, 52.5], Vgms_gGrvc, 5756459]
[figure-caption, [1359.0, 2039.0, 659.0, 52.5], Vgms_gGrvc, 5756459]
[dateline, [307.0, 1841.0, 422.0, 52.5], AcOQB8D4jH, 5756459]
[dateline, [307.0, 1893.5, 422.0, 52.5], AcOQB8D4jH, 5756459]
[paragraph, [310.0, 2193.0, 1734.0, 52.5], LzkCKZDpmL, 5756459]
[paragraph, [310.0, 2245.5, 1734.0, 52.5], LzkCKZDpmL, 5756459]
[figure-caption, [1347.0, 2391.0, 659.0, 52.5], OhJeHSKLIv, 5756459]
[figure-caption, [1347.0, 2443.5, 659.0, 52.5], OhJeHSKLIv, 5756459]
[figure-caption, [1347.0, 2496.0, 659.0, 52.5], OhJeHSKLIv, 5756459]
[figure-caption, [1347.0, 2548.5, 659.0, 52.5], OhJeHSKLIv, 5756459]
[figure-caption, [1347.0, 2601.0, 659.0, 52.5], OhJeHSKLIv, 5756459]
[dateline, [331.0, 2463.0, 386.0, 52.5], shoonya_2sCYO3J42GXE95, 5756459]
