[792, 612]
[paragraph, [96.0, 75.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 93.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 111.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 129.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 147.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 165.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 183.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 201.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 219.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 237.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 255.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 273.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 291.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 309.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 327.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 345.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 363.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 381.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 399.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 417.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 435.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 453.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 471.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 489.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 507.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 525.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 543.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 561.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 579.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 597.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 615.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 633.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 651.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 669.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 687.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 705.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
[paragraph, [96.0, 723.0, 456.0, 18.0], shoonya_0sJ35QC5DJDWWH, 5770997]
