[1818, 1374]
[folio, [479.0, 107.0, 415.0, 36.0], sMO75ln367, 5682707]
[paragraph, [115.0, 177.0, 552.0, 36.0], YXIUQyytXV, 5682707]
[paragraph, [115.0, 213.0, 552.0, 36.0], YXIUQyytXV, 5682707]
[paragraph, [697.0, 177.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 213.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 249.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 285.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 321.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 357.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 393.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 429.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 465.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 501.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 537.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 573.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 609.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 645.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [697.0, 681.0, 567.0, 36.0], T7Lx9EIZmU, 5682707]
[paragraph, [116.0, 391.0, 555.0, 36.0], 4Hh6Ahc38w, 5682707]
[paragraph, [116.0, 427.0, 555.0, 36.0], 4Hh6Ahc38w, 5682707]
[paragraph, [154.0, 477.0, 97.0, 36.0], 4YVuT51TXm, 5682707]
[paragraph, [114.0, 519.0, 559.0, 36.0], DJKDQYoD9I, 5682707]
[paragraph, [114.0, 555.0, 559.0, 36.0], DJKDQYoD9I, 5682707]
[paragraph, [114.0, 591.0, 559.0, 36.0], DJKDQYoD9I, 5682707]
[paragraph, [113.0, 648.0, 561.0, 36.0], VJHGALqWpd, 5682707]
[paragraph, [113.0, 684.0, 561.0, 36.0], VJHGALqWpd, 5682707]
[paragraph, [113.0, 720.0, 561.0, 36.0], VJHGALqWpd, 5682707]
[paragraph, [113.0, 756.0, 561.0, 36.0], VJHGALqWpd, 5682707]
[paragraph, [700.0, 733.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [700.0, 769.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [700.0, 805.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [700.0, 841.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [700.0, 877.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [700.0, 913.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [700.0, 949.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [700.0, 985.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [700.0, 1021.0, 564.0, 36.0], shoonya_2sXZ92U5UCH0F9, 5682707]
[paragraph, [111.0, 820.0, 564.0, 36.0], 3Gf6IYQp8A, 5682707]
[paragraph, [111.0, 856.0, 564.0, 36.0], 3Gf6IYQp8A, 5682707]
[paragraph, [111.0, 906.0, 569.0, 36.0], y6PMnDGaKy, 5682707]
[paragraph, [111.0, 942.0, 569.0, 36.0], y6PMnDGaKy, 5682707]
[paragraph, [111.0, 978.0, 569.0, 36.0], y6PMnDGaKy, 5682707]
[paragraph, [111.0, 1014.0, 569.0, 36.0], y6PMnDGaKy, 5682707]
[paragraph, [111.0, 1050.0, 569.0, 36.0], y6PMnDGaKy, 5682707]
[paragraph, [705.0, 1071.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1107.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1143.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1179.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1215.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1251.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1287.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1323.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1359.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1395.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1431.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1467.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1503.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1539.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1575.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1611.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [705.0, 1647.0, 561.0, 36.0], shoonya_1sSINMHZFGW0SA, 5682707]
[paragraph, [112.0, 1118.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1154.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1190.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1226.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1262.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1298.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1334.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1370.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1406.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1442.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1478.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1514.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1550.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1586.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1622.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
[paragraph, [112.0, 1658.0, 569.0, 36.0], shoonya_0sOULPSLENHUMU, 5682707]
