[1818, 1374]
[folio, [628.0, 110.0, 104.0, 36.0], shoonya_0sLRHSWCWBKIZT, 5682547]
[paragraph, [103.0, 174.0, 558.0, 36.0], QWCVx6T_nn, 5682547]
[paragraph, [103.0, 210.0, 558.0, 36.0], QWCVx6T_nn, 5682547]
[paragraph, [103.0, 246.0, 558.0, 36.0], QWCVx6T_nn, 5682547]
[paragraph, [103.0, 282.0, 558.0, 36.0], QWCVx6T_nn, 5682547]
[paragraph, [687.0, 177.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 213.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 249.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 285.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 321.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 357.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 393.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 429.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 465.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [687.0, 501.0, 564.0, 36.0], 4pqOn2Vxhv, 5682547]
[paragraph, [101.0, 350.0, 560.0, 36.0], TVYtKBqRMd, 5682547]
[paragraph, [101.0, 386.0, 560.0, 36.0], TVYtKBqRMd, 5682547]
[paragraph, [101.0, 422.0, 560.0, 36.0], TVYtKBqRMd, 5682547]
[paragraph, [97.0, 480.0, 564.0, 36.0], -XLjzx9-eY, 5682547]
[paragraph, [97.0, 516.0, 564.0, 36.0], -XLjzx9-eY, 5682547]
[paragraph, [97.0, 552.0, 564.0, 36.0], -XLjzx9-eY, 5682547]
[paragraph, [687.0, 565.0, 567.0, 36.0], qbk71TSkzy, 5682547]
[paragraph, [687.0, 601.0, 567.0, 36.0], qbk71TSkzy, 5682547]
[paragraph, [687.0, 637.0, 567.0, 36.0], qbk71TSkzy, 5682547]
[paragraph, [687.0, 673.0, 567.0, 36.0], qbk71TSkzy, 5682547]
[paragraph, [94.0, 606.0, 569.0, 36.0], fYQafplXda, 5682547]
[paragraph, [94.0, 642.0, 569.0, 36.0], fYQafplXda, 5682547]
[paragraph, [94.0, 678.0, 569.0, 36.0], fYQafplXda, 5682547]
[paragraph, [94.0, 735.0, 571.0, 36.0], ACKRHsdnrX, 5682547]
[paragraph, [94.0, 771.0, 571.0, 36.0], ACKRHsdnrX, 5682547]
[paragraph, [94.0, 807.0, 571.0, 36.0], ACKRHsdnrX, 5682547]
[paragraph, [686.0, 735.0, 580.0, 36.0], z7CnIj0d8S, 5682547]
