[1818, 1374]
[folio, [477.0, 106.0, 413.0, 36.0], oiwqMUfXPv, 5683123]
[paragraph, [144.0, 180.0, 281.0, 36.0], aTpg8XIYNK, 5683123]
[paragraph, [104.0, 224.0, 570.0, 36.0], 5Vp-_ld8b6, 5683123]
[paragraph, [104.0, 260.0, 570.0, 36.0], 5Vp-_ld8b6, 5683123]
[paragraph, [104.0, 296.0, 570.0, 36.0], 5Vp-_ld8b6, 5683123]
[paragraph, [700.0, 302.0, 565.0, 36.0], EEP3yvcfJv, 5683123]
[paragraph, [700.0, 338.0, 565.0, 36.0], EEP3yvcfJv, 5683123]
[paragraph, [700.0, 374.0, 565.0, 36.0], EEP3yvcfJv, 5683123]
[paragraph, [700.0, 410.0, 565.0, 36.0], EEP3yvcfJv, 5683123]
[paragraph, [101.0, 348.0, 573.0, 36.0], sKZrtdXBd6, 5683123]
[paragraph, [101.0, 384.0, 573.0, 36.0], sKZrtdXBd6, 5683123]
[paragraph, [101.0, 420.0, 573.0, 36.0], sKZrtdXBd6, 5683123]
[paragraph, [101.0, 456.0, 573.0, 36.0], sKZrtdXBd6, 5683123]
[paragraph, [101.0, 492.0, 573.0, 36.0], sKZrtdXBd6, 5683123]
[paragraph, [699.0, 481.0, 568.0, 36.0], GaGy0yvpnh, 5683123]
[paragraph, [699.0, 517.0, 568.0, 36.0], GaGy0yvpnh, 5683123]
[paragraph, [699.0, 553.0, 568.0, 36.0], GaGy0yvpnh, 5683123]
[paragraph, [699.0, 589.0, 568.0, 36.0], GaGy0yvpnh, 5683123]
[paragraph, [99.0, 564.0, 578.0, 36.0], 7CuCViN1x5, 5683123]
[paragraph, [99.0, 600.0, 578.0, 36.0], 7CuCViN1x5, 5683123]
[paragraph, [99.0, 636.0, 578.0, 36.0], 7CuCViN1x5, 5683123]
[paragraph, [701.0, 651.0, 556.0, 36.0], shoonya_0sWMCJ9MG78QZB, 5683123]
[paragraph, [701.0, 687.0, 556.0, 36.0], shoonya_0sWMCJ9MG78QZB, 5683123]
[paragraph, [97.0, 693.0, 578.0, 36.0], uT7p75_9YM, 5683123]
[paragraph, [97.0, 729.0, 578.0, 36.0], uT7p75_9YM, 5683123]
[paragraph, [97.0, 765.0, 578.0, 36.0], uT7p75_9YM, 5683123]
[paragraph, [696.0, 778.0, 563.0, 36.0], shoonya_4sWGSV1TY8F51O, 5683123]
[paragraph, [696.0, 814.0, 563.0, 36.0], shoonya_4sWGSV1TY8F51O, 5683123]
[paragraph, [696.0, 850.0, 563.0, 36.0], shoonya_4sWGSV1TY8F51O, 5683123]
[paragraph, [109.0, 820.0, 561.0, 36.0], 6_Lldyk-q2, 5683123]
[paragraph, [109.0, 856.0, 561.0, 36.0], 6_Lldyk-q2, 5683123]
[paragraph, [109.0, 892.0, 561.0, 36.0], 6_Lldyk-q2, 5683123]
[paragraph, [700.0, 906.0, 563.0, 36.0], woPvzwnvHF, 5683123]
[paragraph, [700.0, 942.0, 563.0, 36.0], woPvzwnvHF, 5683123]
[paragraph, [113.0, 948.0, 561.0, 36.0], 08SiQ86GNC, 5683123]
[paragraph, [113.0, 984.0, 561.0, 36.0], 08SiQ86GNC, 5683123]
[paragraph, [113.0, 1020.0, 561.0, 36.0], 08SiQ86GNC, 5683123]
[paragraph, [113.0, 1056.0, 561.0, 36.0], 08SiQ86GNC, 5683123]
[paragraph, [113.0, 1092.0, 561.0, 36.0], 08SiQ86GNC, 5683123]
[paragraph, [697.0, 991.0, 566.0, 36.0], 0xyDei50-d, 5683123]
[paragraph, [697.0, 1027.0, 566.0, 36.0], 0xyDei50-d, 5683123]
[paragraph, [704.0, 1078.0, 561.0, 36.0], 1XLxgYKcM5, 5683123]
[paragraph, [704.0, 1114.0, 561.0, 36.0], 1XLxgYKcM5, 5683123]
[paragraph, [104.0, 1159.0, 571.0, 36.0], m8KF5Iv5hw, 5683123]
[paragraph, [104.0, 1195.0, 571.0, 36.0], m8KF5Iv5hw, 5683123]
[paragraph, [104.0, 1231.0, 571.0, 36.0], m8KF5Iv5hw, 5683123]
[paragraph, [104.0, 1267.0, 571.0, 36.0], m8KF5Iv5hw, 5683123]
[paragraph, [705.0, 1161.0, 556.0, 36.0], dR9VPoqFNs, 5683123]
