[1818, 1374]
[folio, [626.0, 114.0, 111.0, 36.0], shoonya_0s53Z3PDGWLRNB, 5682967]
[paragraph, [141.0, 182.0, 425.0, 36.0], shoonya_3s7TIFMR8GMWRA, 5682967]
[paragraph, [687.0, 189.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 225.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 261.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 297.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 333.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 369.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 405.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 441.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 477.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 513.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 549.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 585.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 621.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 657.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 693.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 729.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [687.0, 765.0, 580.0, 36.0], yyrhGWZ2YP, 5682967]
[paragraph, [101.0, 232.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 268.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 304.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 340.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 376.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 412.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 448.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 484.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
[paragraph, [101.0, 520.0, 570.0, 36.0], shoonya_4sNLFXSLJC9UMI, 5682967]
