[1818, 1374]
[folio, [567.0, 165.0, 252.0, 36.0], qLkS_IjToX, 5682812]
[paragraph, [107.0, 241.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 277.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 313.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 349.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 385.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 421.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 457.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 493.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 529.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 565.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [107.0, 601.0, 565.0, 36.0], shoonya_6s0RGHNH5D2Y9X, 5682812]
[paragraph, [700.0, 243.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [700.0, 279.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [700.0, 315.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [700.0, 351.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [700.0, 387.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [700.0, 423.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [700.0, 459.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [700.0, 495.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [700.0, 531.0, 564.0, 36.0], shoonya_8sCSCD3DZ83AJ6, 5682812]
[paragraph, [111.0, 658.0, 560.0, 36.0], shoonya_2s1VZNOUB27KN8, 5682812]
[paragraph, [111.0, 694.0, 560.0, 36.0], shoonya_2s1VZNOUB27KN8, 5682812]
[paragraph, [111.0, 730.0, 560.0, 36.0], shoonya_2s1VZNOUB27KN8, 5682812]
[paragraph, [111.0, 766.0, 560.0, 36.0], shoonya_2s1VZNOUB27KN8, 5682812]
[paragraph, [111.0, 802.0, 560.0, 36.0], shoonya_2s1VZNOUB27KN8, 5682812]
[paragraph, [111.0, 838.0, 560.0, 36.0], shoonya_2s1VZNOUB27KN8, 5682812]
[paragraph, [698.0, 660.0, 562.0, 36.0], shoonya_1sBE9O1Z7Z73GT, 5682812]
[paragraph, [698.0, 696.0, 562.0, 36.0], shoonya_1sBE9O1Z7Z73GT, 5682812]
[paragraph, [698.0, 732.0, 562.0, 36.0], shoonya_1sBE9O1Z7Z73GT, 5682812]
