[1951, 1219]
[folio, [769.0, 115.0, 217.0, 36.0], shoonya_0sRLUPK7R7Z533, 5682194]
[paragraph, [123.0, 208.0, 894.0, 36.0], tWD-z-ob4h, 5682194]
[paragraph, [126.0, 272.0, 964.0, 36.0], j_ovm0KEU_, 5682194]
[paragraph, [126.0, 308.0, 964.0, 36.0], j_ovm0KEU_, 5682194]
[paragraph, [126.0, 344.0, 964.0, 36.0], j_ovm0KEU_, 5682194]
[paragraph, [126.0, 380.0, 964.0, 36.0], j_ovm0KEU_, 5682194]
[paragraph, [126.0, 416.0, 964.0, 36.0], j_ovm0KEU_, 5682194]
[paragraph, [126.0, 452.0, 964.0, 36.0], j_ovm0KEU_, 5682194]
[paragraph, [126.0, 488.0, 964.0, 36.0], j_ovm0KEU_, 5682194]
[paragraph, [126.0, 565.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 601.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 637.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 673.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 709.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 745.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 781.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 817.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 853.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 889.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 925.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 961.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 997.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 1033.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [126.0, 1069.0, 972.0, 36.0], 8ieaEQVufe, 5682194]
[paragraph, [127.0, 1141.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1177.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1213.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1249.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1285.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1321.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1357.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1393.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1429.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1465.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1501.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1537.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1573.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [127.0, 1609.0, 976.0, 36.0], hh7j2UQR8t, 5682194]
[paragraph, [129.0, 1661.0, 969.0, 36.0], xVkt5dsJys, 5682194]
[paragraph, [129.0, 1697.0, 969.0, 36.0], xVkt5dsJys, 5682194]
[paragraph, [129.0, 1733.0, 969.0, 36.0], xVkt5dsJys, 5682194]
[paragraph, [129.0, 1769.0, 969.0, 36.0], xVkt5dsJys, 5682194]
