[1951, 1219]
[chapter-title, [487.0, 450.0, 195.0, 58.5], shoonya_1sZ0IQWJL9OZJN, 5682467]
[paragraph, [205.0, 590.0, 861.0, 36.0], shoonya_0s2JOMYJADZBPC, 5682467]
[paragraph, [214.0, 654.0, 700.0, 36.0], gPzcNaS0fH, 5682467]
[paragraph, [214.0, 716.0, 610.0, 36.0], KwdJ4Eq2gw, 5682467]
[paragraph, [214.0, 773.0, 246.0, 36.0], nJC8r_QSe1, 5682467]
[paragraph, [126.0, 834.0, 961.0, 36.0], R32ETAAjzy, 5682467]
[paragraph, [126.0, 870.0, 961.0, 36.0], R32ETAAjzy, 5682467]
[paragraph, [126.0, 906.0, 961.0, 36.0], R32ETAAjzy, 5682467]
[paragraph, [126.0, 942.0, 961.0, 36.0], R32ETAAjzy, 5682467]
[paragraph, [127.0, 1012.0, 964.0, 36.0], hl_VkjAmp6, 5682467]
[paragraph, [127.0, 1048.0, 964.0, 36.0], hl_VkjAmp6, 5682467]
[paragraph, [127.0, 1084.0, 964.0, 36.0], hl_VkjAmp6, 5682467]
[paragraph, [127.0, 1120.0, 964.0, 36.0], hl_VkjAmp6, 5682467]
[paragraph, [127.0, 1193.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [127.0, 1229.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [127.0, 1265.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [127.0, 1301.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [127.0, 1337.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [127.0, 1373.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [127.0, 1409.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [127.0, 1445.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [127.0, 1481.0, 969.0, 36.0], qbf26cn-H8, 5682467]
[paragraph, [131.0, 1545.0, 965.0, 36.0], i7HpKRRfGl, 5682467]
[paragraph, [131.0, 1581.0, 965.0, 36.0], i7HpKRRfGl, 5682467]
[paragraph, [131.0, 1617.0, 965.0, 36.0], i7HpKRRfGl, 5682467]
[paragraph, [131.0, 1653.0, 965.0, 36.0], i7HpKRRfGl, 5682467]
[paragraph, [131.0, 1689.0, 965.0, 36.0], i7HpKRRfGl, 5682467]
[paragraph, [131.0, 1725.0, 965.0, 36.0], i7HpKRRfGl, 5682467]
[paragraph, [131.0, 1761.0, 965.0, 36.0], i7HpKRRfGl, 5682467]
[paragraph, [131.0, 1797.0, 965.0, 36.0], i7HpKRRfGl, 5682467]
