[1951, 1219]
[folio, [805.0, 125.0, 193.0, 36.0], 0BVELCXmuP, 5682121]
[paragraph, [126.0, 206.0, 952.0, 36.0], shoonya_0sKWZR22NE74PU, 5682121]
[paragraph, [126.0, 242.0, 952.0, 36.0], shoonya_0sKWZR22NE74PU, 5682121]
[paragraph, [126.0, 278.0, 952.0, 36.0], shoonya_0sKWZR22NE74PU, 5682121]
[paragraph, [126.0, 314.0, 952.0, 36.0], shoonya_0sKWZR22NE74PU, 5682121]
[paragraph, [126.0, 382.0, 949.0, 36.0], MurVGudhF-, 5682121]
[paragraph, [126.0, 418.0, 949.0, 36.0], MurVGudhF-, 5682121]
[paragraph, [125.0, 497.0, 952.0, 36.0], OJsVDY4MVV, 5682121]
[paragraph, [125.0, 533.0, 952.0, 36.0], OJsVDY4MVV, 5682121]
[paragraph, [124.0, 609.0, 955.0, 36.0], WgpeaZ1q_4, 5682121]
[paragraph, [124.0, 645.0, 955.0, 36.0], WgpeaZ1q_4, 5682121]
[paragraph, [215.0, 721.0, 709.0, 36.0], TtZEQITigp, 5682121]
[paragraph, [210.0, 787.0, 835.0, 36.0], rw_AsA0ixu, 5682121]
[paragraph, [135.0, 850.0, 944.0, 36.0], gTXg0TS3qm, 5682121]
[paragraph, [135.0, 886.0, 944.0, 36.0], gTXg0TS3qm, 5682121]
[paragraph, [129.0, 955.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 991.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1027.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1063.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1099.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1135.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1171.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1207.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1243.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1279.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1315.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1351.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1387.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1423.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1459.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1495.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1531.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1567.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [129.0, 1603.0, 960.0, 36.0], BQGrjC8Y_U, 5682121]
[paragraph, [121.0, 1646.0, 971.0, 36.0], Z4yR1qvvEn, 5682121]
[paragraph, [121.0, 1682.0, 971.0, 36.0], Z4yR1qvvEn, 5682121]
[paragraph, [121.0, 1718.0, 971.0, 36.0], Z4yR1qvvEn, 5682121]
[paragraph, [121.0, 1754.0, 971.0, 36.0], Z4yR1qvvEn, 5682121]
