[1987, 1270]
[folio, [600.0, 119.0, 91.0, 36.0], shoonya_1s9KLDAWEI67XT, 5683053]
[paragraph, [133.0, 186.0, 1012.0, 36.0], shoonya_3s19VW95BWU0G0, 5683053]
[paragraph, [133.0, 222.0, 1012.0, 36.0], shoonya_3s19VW95BWU0G0, 5683053]
[paragraph, [135.0, 298.0, 1010.0, 36.0], shoonya_4sBNCLG9XQHJOI, 5683053]
[paragraph, [135.0, 334.0, 1010.0, 36.0], shoonya_4sBNCLG9XQHJOI, 5683053]
[paragraph, [135.0, 370.0, 1010.0, 36.0], shoonya_4sBNCLG9XQHJOI, 5683053]
[paragraph, [135.0, 406.0, 1010.0, 36.0], shoonya_4sBNCLG9XQHJOI, 5683053]
[paragraph, [132.0, 451.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 487.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 523.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 559.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 595.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 631.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 667.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 703.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 739.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 775.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 811.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [132.0, 847.0, 1014.0, 36.0], shoonya_5s8UE6L5JI3O8I, 5683053]
[paragraph, [130.0, 925.0, 1016.0, 36.0], Ao_Wi8BV7a, 5683053]
[paragraph, [130.0, 961.0, 1016.0, 36.0], Ao_Wi8BV7a, 5683053]
[paragraph, [130.0, 997.0, 1016.0, 36.0], Ao_Wi8BV7a, 5683053]
[paragraph, [130.0, 1033.0, 1016.0, 36.0], Ao_Wi8BV7a, 5683053]
[paragraph, [130.0, 1080.0, 1014.0, 36.0], 2zLB6j__Yh, 5683053]
[paragraph, [130.0, 1116.0, 1014.0, 36.0], 2zLB6j__Yh, 5683053]
[paragraph, [130.0, 1152.0, 1014.0, 36.0], 2zLB6j__Yh, 5683053]
[paragraph, [130.0, 1188.0, 1014.0, 36.0], 2zLB6j__Yh, 5683053]
[paragraph, [125.0, 1239.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1275.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1311.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1347.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1383.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1419.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1455.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1491.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1527.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1563.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1599.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1635.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1671.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1707.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1743.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1779.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
[paragraph, [125.0, 1815.0, 1019.0, 36.0], PKstY4iUnb, 5683053]
