[2806, 1983]
[paragraph, [213.0, 222.0, 1556.0, 46.5], Sbf3ykGs-3, 5682700]
[paragraph, [213.0, 268.5, 1556.0, 46.5], Sbf3ykGs-3, 5682700]
[paragraph, [213.0, 315.0, 1556.0, 46.5], Sbf3ykGs-3, 5682700]
[paragraph, [213.0, 361.5, 1556.0, 46.5], Sbf3ykGs-3, 5682700]
[paragraph, [213.0, 408.0, 1556.0, 46.5], Sbf3ykGs-3, 5682700]
[paragraph, [218.0, 599.0, 1093.0, 46.5], GR4GhfpMIi, 5682700]
[paragraph, [213.0, 787.0, 1544.0, 46.5], GJaYP755dL, 5682700]
[paragraph, [213.0, 833.5, 1544.0, 46.5], GJaYP755dL, 5682700]
[paragraph, [213.0, 880.0, 1544.0, 46.5], GJaYP755dL, 5682700]
[paragraph, [213.0, 926.5, 1544.0, 46.5], GJaYP755dL, 5682700]
[paragraph, [220.0, 1104.0, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [220.0, 1150.5, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [220.0, 1197.0, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [220.0, 1243.5, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [220.0, 1290.0, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [220.0, 1336.5, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [220.0, 1383.0, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [220.0, 1429.5, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [220.0, 1476.0, 1534.0, 46.5], guxtwLRr_8, 5682700]
[paragraph, [221.0, 1665.0, 1546.0, 46.5], shoonya_0s3G639H6SJWAF, 5682700]
[paragraph, [221.0, 1711.5, 1546.0, 46.5], shoonya_0s3G639H6SJWAF, 5682700]
[paragraph, [221.0, 1758.0, 1546.0, 46.5], shoonya_0s3G639H6SJWAF, 5682700]
[paragraph, [221.0, 1804.5, 1546.0, 46.5], shoonya_0s3G639H6SJWAF, 5682700]
[paragraph, [221.0, 1851.0, 1546.0, 46.5], shoonya_0s3G639H6SJWAF, 5682700]
[paragraph, [218.0, 2053.0, 1556.0, 46.5], QTWdCo2ShG, 5682700]
[paragraph, [218.0, 2099.5, 1556.0, 46.5], QTWdCo2ShG, 5682700]
[paragraph, [218.0, 2146.0, 1556.0, 46.5], QTWdCo2ShG, 5682700]
[paragraph, [218.0, 2192.5, 1556.0, 46.5], QTWdCo2ShG, 5682700]
[paragraph, [218.0, 2239.0, 1556.0, 46.5], QTWdCo2ShG, 5682700]
[paragraph, [218.0, 2285.5, 1556.0, 46.5], QTWdCo2ShG, 5682700]
[paragraph, [218.0, 2332.0, 1556.0, 46.5], QTWdCo2ShG, 5682700]
