[588, 379]
[paragraph, [24.0, 59.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 77.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 95.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 113.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 131.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 149.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 167.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 185.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 203.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 221.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [24.0, 239.0, 323.0, 18.0], shoonya_0sOQGVOSGXHJPO, 6492259]
[paragraph, [23.0, 263.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 281.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 299.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 317.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 335.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 353.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 371.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 389.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 407.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 425.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 443.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 461.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 479.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 497.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
[paragraph, [23.0, 515.0, 322.0, 18.0], dsuDPSd0FG, 6492259]
