[587, 401]
[paragraph, [34.0, 41.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 59.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 77.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 95.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 113.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 131.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 149.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 167.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 185.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [34.0, 203.0, 305.0, 18.0], 1FL0snfutH, 6492270]
[paragraph, [28.0, 224.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 242.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 260.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 278.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 296.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 314.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 332.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 350.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 368.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 386.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 404.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [28.0, 422.0, 313.0, 18.0], 2ERGgKynyA, 6492270]
[paragraph, [32.0, 453.0, 311.0, 18.0], Iq_H-uorUj, 6492270]
[paragraph, [32.0, 471.0, 311.0, 18.0], Iq_H-uorUj, 6492270]
[paragraph, [32.0, 489.0, 311.0, 18.0], Iq_H-uorUj, 6492270]
[paragraph, [32.0, 507.0, 311.0, 18.0], Iq_H-uorUj, 6492270]
