[792, 612]
[chapter-title, [256.0, 107.0, 98.0, 30.0], OHi58rj23Q, 6491422]
[paragraph, [83.0, 167.0, 428.0, 18.0], RXLxZsYLeD, 6491422]
[paragraph, [83.0, 185.0, 428.0, 18.0], RXLxZsYLeD, 6491422]
[paragraph, [83.0, 203.0, 428.0, 18.0], RXLxZsYLeD, 6491422]
[paragraph, [83.0, 221.0, 428.0, 18.0], RXLxZsYLeD, 6491422]
[paragraph, [83.0, 239.0, 428.0, 18.0], RXLxZsYLeD, 6491422]
[paragraph, [83.0, 257.0, 428.0, 18.0], RXLxZsYLeD, 6491422]
[paragraph, [83.0, 275.0, 428.0, 18.0], RXLxZsYLeD, 6491422]
[paragraph, [96.0, 299.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 317.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 335.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 353.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 371.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 389.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 407.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 425.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 443.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 461.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 479.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 497.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 515.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 533.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 551.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 569.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 587.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 605.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 623.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 641.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 659.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 677.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 695.0, 422.0, 18.0], J30RN7SBGR, 6491422]
[paragraph, [96.0, 713.0, 422.0, 18.0], J30RN7SBGR, 6491422]
