[1164, 755]
[paragraph, [77.0, 82.0, 607.0, 18.0], shoonya_3sHACFDA1SIKEO, 5691706]
[paragraph, [77.0, 100.0, 607.0, 18.0], shoonya_3sHACFDA1SIKEO, 5691706]
[paragraph, [77.0, 118.0, 607.0, 18.0], shoonya_3sHACFDA1SIKEO, 5691706]
[paragraph, [77.0, 136.0, 607.0, 18.0], shoonya_3sHACFDA1SIKEO, 5691706]
[paragraph, [77.0, 154.0, 607.0, 18.0], shoonya_3sHACFDA1SIKEO, 5691706]
[paragraph, [80.0, 190.0, 601.0, 18.0], shoonya_9sETVTT85NYHPL, 5691706]
[paragraph, [80.0, 208.0, 601.0, 18.0], shoonya_9sETVTT85NYHPL, 5691706]
[paragraph, [73.0, 228.0, 614.0, 18.0], nD_YY3uPU1, 5691706]
[paragraph, [73.0, 246.0, 614.0, 18.0], nD_YY3uPU1, 5691706]
[paragraph, [73.0, 264.0, 614.0, 18.0], nD_YY3uPU1, 5691706]
[paragraph, [107.0, 299.0, 469.0, 18.0], shoonya_7sWW0IE36OBG5G, 5691706]
[paragraph, [107.0, 317.0, 469.0, 18.0], shoonya_7sWW0IE36OBG5G, 5691706]
[paragraph, [107.0, 335.0, 469.0, 18.0], shoonya_7sWW0IE36OBG5G, 5691706]
[paragraph, [76.0, 370.0, 603.0, 18.0], shoonya_1sU7IN31HXOSDG, 5691706]
[paragraph, [76.0, 388.0, 603.0, 18.0], shoonya_1sU7IN31HXOSDG, 5691706]
[paragraph, [76.0, 406.0, 603.0, 18.0], shoonya_1sU7IN31HXOSDG, 5691706]
[paragraph, [76.0, 424.0, 603.0, 18.0], shoonya_1sU7IN31HXOSDG, 5691706]
[paragraph, [76.0, 442.0, 603.0, 18.0], shoonya_1sU7IN31HXOSDG, 5691706]
[paragraph, [76.0, 460.0, 603.0, 18.0], shoonya_1sU7IN31HXOSDG, 5691706]
[paragraph, [76.0, 478.0, 603.0, 18.0], shoonya_1sU7IN31HXOSDG, 5691706]
[paragraph, [81.0, 510.0, 600.0, 18.0], shoonya_5sDZI1SM1Z0CQW, 5691706]
[paragraph, [81.0, 528.0, 600.0, 18.0], shoonya_5sDZI1SM1Z0CQW, 5691706]
[paragraph, [81.0, 546.0, 600.0, 18.0], shoonya_5sDZI1SM1Z0CQW, 5691706]
[paragraph, [102.0, 579.0, 482.0, 18.0], shoonya_0s9FO8V2OUMRLQ, 5691706]
[paragraph, [102.0, 597.0, 482.0, 18.0], shoonya_0s9FO8V2OUMRLQ, 5691706]
[paragraph, [102.0, 615.0, 482.0, 18.0], shoonya_0s9FO8V2OUMRLQ, 5691706]
[paragraph, [102.0, 633.0, 482.0, 18.0], shoonya_0s9FO8V2OUMRLQ, 5691706]
[paragraph, [76.0, 649.0, 603.0, 18.0], shoonya_12sC0I3TZXR0Z6, 5691706]
[paragraph, [76.0, 667.0, 603.0, 18.0], shoonya_12sC0I3TZXR0Z6, 5691706]
[paragraph, [76.0, 685.0, 603.0, 18.0], shoonya_12sC0I3TZXR0Z6, 5691706]
[paragraph, [76.0, 703.0, 603.0, 18.0], shoonya_12sC0I3TZXR0Z6, 5691706]
[paragraph, [76.0, 721.0, 603.0, 18.0], shoonya_12sC0I3TZXR0Z6, 5691706]
[paragraph, [73.0, 759.0, 607.0, 18.0], lF-p5t5_bj, 5691706]
[paragraph, [73.0, 777.0, 607.0, 18.0], lF-p5t5_bj, 5691706]
[paragraph, [73.0, 795.0, 607.0, 18.0], lF-p5t5_bj, 5691706]
[paragraph, [72.0, 832.0, 607.0, 18.0], shoonya_10sANL9QH2HEFI, 5691706]
[paragraph, [72.0, 850.0, 607.0, 18.0], shoonya_10sANL9QH2HEFI, 5691706]
[paragraph, [72.0, 868.0, 607.0, 18.0], shoonya_10sANL9QH2HEFI, 5691706]
[paragraph, [72.0, 886.0, 607.0, 18.0], shoonya_10sANL9QH2HEFI, 5691706]
[paragraph, [72.0, 904.0, 607.0, 18.0], shoonya_10sANL9QH2HEFI, 5691706]
[paragraph, [69.0, 938.0, 608.0, 18.0], shoonya_4sLPPQ27E6CW4K, 5691706]
[paragraph, [69.0, 956.0, 608.0, 18.0], shoonya_4sLPPQ27E6CW4K, 5691706]
[paragraph, [69.0, 974.0, 608.0, 18.0], shoonya_4sLPPQ27E6CW4K, 5691706]
