[1164, 755]
[paragraph, [65.0, 81.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 99.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 117.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 135.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 153.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 171.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 189.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 207.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 225.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [65.0, 243.0, 625.0, 18.0], shoonya_0s51BSE2RITVP0, 5692027]
[paragraph, [59.0, 263.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 281.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 299.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 317.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 335.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 353.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 371.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 389.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 407.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 425.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 443.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 461.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 479.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 497.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 515.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 533.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [59.0, 551.0, 633.0, 18.0], SQYDPwKt-D, 5692027]
[paragraph, [56.0, 584.0, 634.0, 18.0], shoonya_4sE4L5Y3G5E8P9, 5692027]
[paragraph, [56.0, 602.0, 634.0, 18.0], shoonya_4sE4L5Y3G5E8P9, 5692027]
[paragraph, [56.0, 620.0, 634.0, 18.0], shoonya_4sE4L5Y3G5E8P9, 5692027]
[paragraph, [56.0, 638.0, 634.0, 18.0], shoonya_4sE4L5Y3G5E8P9, 5692027]
[paragraph, [56.0, 656.0, 634.0, 18.0], shoonya_4sE4L5Y3G5E8P9, 5692027]
[paragraph, [59.0, 691.0, 630.0, 18.0], shoonya_3sTOL449BQ6YE1, 5692027]
[paragraph, [59.0, 709.0, 630.0, 18.0], shoonya_3sTOL449BQ6YE1, 5692027]
[paragraph, [59.0, 727.0, 630.0, 18.0], shoonya_3sTOL449BQ6YE1, 5692027]
[paragraph, [59.0, 745.0, 630.0, 18.0], shoonya_3sTOL449BQ6YE1, 5692027]
[paragraph, [59.0, 763.0, 630.0, 18.0], shoonya_3sTOL449BQ6YE1, 5692027]
[paragraph, [56.0, 795.0, 631.0, 18.0], shoonya_1sAJNQCEV2J8WU, 5692027]
[paragraph, [56.0, 813.0, 631.0, 18.0], shoonya_1sAJNQCEV2J8WU, 5692027]
[paragraph, [56.0, 831.0, 631.0, 18.0], shoonya_1sAJNQCEV2J8WU, 5692027]
[paragraph, [56.0, 849.0, 631.0, 18.0], shoonya_1sAJNQCEV2J8WU, 5692027]
[paragraph, [56.0, 867.0, 631.0, 18.0], shoonya_1sAJNQCEV2J8WU, 5692027]
[paragraph, [54.0, 904.0, 631.0, 18.0], ZbJT0tzcby, 5692027]
[paragraph, [54.0, 922.0, 631.0, 18.0], ZbJT0tzcby, 5692027]
[paragraph, [54.0, 940.0, 631.0, 18.0], ZbJT0tzcby, 5692027]
[paragraph, [54.0, 958.0, 631.0, 18.0], ZbJT0tzcby, 5692027]
[paragraph, [54.0, 976.0, 631.0, 18.0], ZbJT0tzcby, 5692027]
