[3509, 2482]
[folio, [181.0, 485.0, 435.0, 52.5], Kk0YYJBDxe, 5691638]
[folio, [181.0, 537.5, 435.0, 52.5], Kk0YYJBDxe, 5691638]
[section-title, [964.0, 602.0, 236.0, 93.0], shoonya_2sOYE42U63NAYL, 5691638]
[paragraph, [212.0, 697.0, 1779.0, 52.5], shoonya_1sYPCVWQVR9BN0, 5691638]
[paragraph, [212.0, 749.5, 1779.0, 52.5], shoonya_1sYPCVWQVR9BN0, 5691638]
[paragraph, [212.0, 802.0, 1779.0, 52.5], shoonya_1sYPCVWQVR9BN0, 5691638]
[paragraph, [212.0, 854.5, 1779.0, 52.5], shoonya_1sYPCVWQVR9BN0, 5691638]
[paragraph, [190.0, 870.0, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [190.0, 922.5, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [190.0, 975.0, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [190.0, 1027.5, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [190.0, 1080.0, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [190.0, 1132.5, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [190.0, 1185.0, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [190.0, 1237.5, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [190.0, 1290.0, 1818.0, 52.5], mbDw4wb6Vd, 5691638]
[paragraph, [187.0, 1314.0, 1840.0, 52.5], rylomFlshm, 5691638]
[paragraph, [187.0, 1366.5, 1840.0, 52.5], rylomFlshm, 5691638]
[paragraph, [187.0, 1419.0, 1840.0, 52.5], rylomFlshm, 5691638]
[paragraph, [187.0, 1471.5, 1840.0, 52.5], rylomFlshm, 5691638]
[paragraph, [187.0, 1524.0, 1840.0, 52.5], rylomFlshm, 5691638]
[paragraph, [187.0, 1576.5, 1840.0, 52.5], rylomFlshm, 5691638]
[paragraph, [187.0, 1629.0, 1840.0, 52.5], rylomFlshm, 5691638]
[paragraph, [187.0, 1681.5, 1840.0, 52.5], rylomFlshm, 5691638]
[paragraph, [182.0, 1753.0, 1852.0, 52.5], BsDF9FCZtg, 5691638]
[paragraph, [182.0, 1805.5, 1852.0, 52.5], BsDF9FCZtg, 5691638]
[paragraph, [182.0, 1858.0, 1852.0, 52.5], BsDF9FCZtg, 5691638]
[paragraph, [182.0, 1910.5, 1852.0, 52.5], BsDF9FCZtg, 5691638]
[section-title, [1010.0, 2065.0, 228.0, 93.0], kqEHJan2ng, 5691638]
[paragraph, [222.0, 2174.0, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2226.5, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2279.0, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2331.5, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2384.0, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2436.5, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2489.0, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2541.5, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2594.0, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2646.5, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2699.0, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2751.5, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2804.0, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2856.5, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [222.0, 2909.0, 1829.0, 52.5], shoonya_0sSQ5CPBW52NI9, 5691638]
[paragraph, [219.0, 2967.0, 1834.0, 52.5], Ky9xcTLhM0, 5691638]
[paragraph, [219.0, 3019.5, 1834.0, 52.5], Ky9xcTLhM0, 5691638]
[paragraph, [219.0, 3072.0, 1834.0, 52.5], Ky9xcTLhM0, 5691638]
[paragraph, [219.0, 3124.5, 1834.0, 52.5], Ky9xcTLhM0, 5691638]
[paragraph, [219.0, 3177.0, 1834.0, 52.5], Ky9xcTLhM0, 5691638]
[paragraph, [219.0, 3229.5, 1834.0, 52.5], Ky9xcTLhM0, 5691638]
