[3509, 2482]
[folio, [881.0, 229.0, 518.0, 52.5], jr0s-jpJwX, 5691548]
[folio, [881.0, 281.5, 518.0, 52.5], jr0s-jpJwX, 5691548]
[paragraph, [304.0, 347.0, 943.0, 52.5], biVChBDSZG, 5691548]
[paragraph, [304.0, 399.5, 943.0, 52.5], biVChBDSZG, 5691548]
[paragraph, [313.0, 446.0, 474.0, 52.5], Ezi-X1ONRD, 5691548]
[paragraph, [220.0, 516.0, 1826.0, 52.5], 8zShqys_5r, 5691548]
[paragraph, [220.0, 568.5, 1826.0, 52.5], 8zShqys_5r, 5691548]
[paragraph, [220.0, 621.0, 1826.0, 52.5], 8zShqys_5r, 5691548]
[paragraph, [232.0, 676.0, 1737.0, 52.5], YIZbvMSn_h, 5691548]
[paragraph, [214.0, 747.0, 1250.0, 52.5], yiSLc_9fwB, 5691548]
[paragraph, [304.0, 822.0, 713.0, 52.5], iVmJizRvoJ, 5691548]
[paragraph, [304.0, 874.5, 713.0, 52.5], iVmJizRvoJ, 5691548]
[paragraph, [276.0, 968.0, 936.0, 52.5], S_hlya8plF, 5691548]
[paragraph, [257.0, 1042.0, 918.0, 52.5], gwfLT2LfZa, 5691548]
[paragraph, [257.0, 1094.5, 918.0, 52.5], gwfLT2LfZa, 5691548]
[paragraph, [257.0, 1147.0, 918.0, 52.5], gwfLT2LfZa, 5691548]
[paragraph, [245.0, 1200.0, 1076.0, 52.5], 3NVtdcnEkh, 5691548]
[paragraph, [316.0, 1281.0, 1402.0, 52.5], PpyEnre5fp, 5691548]
[paragraph, [338.0, 1355.0, 217.0, 52.5], DcQJJgfs7q, 5691548]
[paragraph, [204.0, 1420.0, 1774.0, 52.5], LFyqjrL4yy, 5691548]
[paragraph, [204.0, 1472.5, 1774.0, 52.5], LFyqjrL4yy, 5691548]
[paragraph, [204.0, 1525.0, 1774.0, 52.5], LFyqjrL4yy, 5691548]
[paragraph, [313.0, 1579.0, 384.0, 52.5], gEUQRlOR1B, 5691548]
[paragraph, [279.0, 1650.0, 1147.0, 52.5], Svjb-89543, 5691548]
[paragraph, [319.0, 1734.0, 279.0, 52.5], uJ_7wJWyLm, 5691548]
[paragraph, [331.0, 1793.0, 1228.0, 52.5], EkLpU73RTA, 5691548]
[paragraph, [331.0, 1845.5, 1228.0, 52.5], EkLpU73RTA, 5691548]
[paragraph, [288.0, 1877.0, 279.0, 52.5], ptCJHRMNb3, 5691548]
[paragraph, [288.0, 1945.0, 561.0, 52.5], OA2SUOxLDU, 5691548]
[paragraph, [291.0, 2035.0, 1380.0, 52.5], _4jrRX8F_B, 5691548]
[paragraph, [179.0, 2115.0, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2167.5, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2220.0, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2272.5, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2325.0, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2377.5, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2430.0, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2482.5, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2535.0, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2587.5, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2640.0, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [179.0, 2692.5, 1818.0, 52.5], LYuvB-SjoR, 5691548]
[paragraph, [189.0, 2792.0, 1808.0, 52.5], TyuaqpdHjB, 5691548]
[paragraph, [189.0, 2844.5, 1808.0, 52.5], TyuaqpdHjB, 5691548]
[paragraph, [189.0, 2897.0, 1808.0, 52.5], TyuaqpdHjB, 5691548]
[paragraph, [189.0, 2949.5, 1808.0, 52.5], TyuaqpdHjB, 5691548]
[paragraph, [289.0, 3032.0, 898.0, 52.5], shoonya_0sM0W6C0FCBYPB, 5691548]
[paragraph, [289.0, 3084.5, 898.0, 52.5], shoonya_0sM0W6C0FCBYPB, 5691548]
