[2061, 1233]
[paragraph, [114.0, 123.0, 991.0, 36.0], pDXy0gchvh, 5692218]
[paragraph, [114.0, 159.0, 991.0, 36.0], pDXy0gchvh, 5692218]
[paragraph, [114.0, 195.0, 991.0, 36.0], pDXy0gchvh, 5692218]
[paragraph, [114.0, 231.0, 991.0, 36.0], pDXy0gchvh, 5692218]
[paragraph, [121.0, 297.0, 987.0, 36.0], d72WM0A-Ge, 5692218]
[paragraph, [121.0, 333.0, 987.0, 36.0], d72WM0A-Ge, 5692218]
[paragraph, [121.0, 369.0, 987.0, 36.0], d72WM0A-Ge, 5692218]
[paragraph, [121.0, 405.0, 987.0, 36.0], d72WM0A-Ge, 5692218]
[paragraph, [121.0, 468.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 504.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 540.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 576.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 612.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 648.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 684.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 720.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 756.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 792.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 828.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 864.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 900.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [121.0, 936.0, 982.0, 36.0], shoonya_0sVZ78NITB168Z, 5692218]
[paragraph, [167.0, 981.0, 431.0, 36.0], BuLFU1DOqD, 5692218]
[paragraph, [172.0, 1041.0, 633.0, 36.0], shoonya_9sW01RUXU2SII4, 5692218]
[paragraph, [176.0, 1094.0, 299.0, 36.0], shoonya_6sPT5P435ELQU4, 5692218]
[paragraph, [176.0, 1153.0, 176.0, 36.0], shoonya_3sVVW0CBAQR2TY, 5692218]
[paragraph, [180.0, 1213.0, 111.0, 36.0], shoonya_2s7TNEZWEPRWIM, 5692218]
[paragraph, [122.0, 1268.0, 983.0, 36.0], shoonya_4sLPZ8DUGGAWLS, 5692218]
[paragraph, [122.0, 1304.0, 983.0, 36.0], shoonya_4sLPZ8DUGGAWLS, 5692218]
[paragraph, [122.0, 1340.0, 983.0, 36.0], shoonya_4sLPZ8DUGGAWLS, 5692218]
[paragraph, [130.0, 1379.0, 985.0, 36.0], shoonya_8sP81WMP1A6CT5, 5692218]
[paragraph, [130.0, 1415.0, 985.0, 36.0], shoonya_8sP81WMP1A6CT5, 5692218]
[paragraph, [130.0, 1451.0, 985.0, 36.0], shoonya_8sP81WMP1A6CT5, 5692218]
[paragraph, [130.0, 1487.0, 985.0, 36.0], shoonya_8sP81WMP1A6CT5, 5692218]
[paragraph, [124.0, 1555.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
[paragraph, [124.0, 1591.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
[paragraph, [124.0, 1627.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
[paragraph, [124.0, 1663.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
[paragraph, [124.0, 1699.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
[paragraph, [124.0, 1735.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
[paragraph, [124.0, 1771.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
[paragraph, [124.0, 1807.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
[paragraph, [124.0, 1843.0, 985.0, 36.0], shoonya_1sED5J0OV16OW9, 5692218]
