[950, 553]
[paragraph, [28.0, 181.0, 510.0, 18.0], shoonya_2sXUA6023MFTFW, 5776613]
[paragraph, [28.0, 199.0, 510.0, 18.0], shoonya_2sXUA6023MFTFW, 5776613]
[paragraph, [28.0, 217.0, 510.0, 18.0], shoonya_2sXUA6023MFTFW, 5776613]
[paragraph, [28.0, 252.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 270.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 288.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 306.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 324.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 342.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 360.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 378.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 396.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 414.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 432.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 450.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 468.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 486.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 504.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 522.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 540.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 558.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 576.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 594.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [28.0, 612.0, 507.0, 18.0], shoonya_0sMK0IWPWODI4Y, 5776613]
[paragraph, [31.0, 680.0, 507.0, 18.0], shoonya_7sH1MW5N36R1C2, 5776613]
[paragraph, [31.0, 698.0, 507.0, 18.0], shoonya_7sH1MW5N36R1C2, 5776613]
[paragraph, [31.0, 716.0, 507.0, 18.0], shoonya_7sH1MW5N36R1C2, 5776613]
[paragraph, [31.0, 734.0, 507.0, 18.0], shoonya_7sH1MW5N36R1C2, 5776613]
[paragraph, [32.0, 746.0, 509.0, 18.0], shoonya_1sSAU09JDAQDRQ, 5776613]
[paragraph, [32.0, 764.0, 509.0, 18.0], shoonya_1sSAU09JDAQDRQ, 5776613]
[paragraph, [32.0, 782.0, 509.0, 18.0], shoonya_1sSAU09JDAQDRQ, 5776613]
[paragraph, [32.0, 800.0, 509.0, 18.0], shoonya_1sSAU09JDAQDRQ, 5776613]
[paragraph, [32.0, 818.0, 509.0, 18.0], shoonya_1sSAU09JDAQDRQ, 5776613]
[paragraph, [32.0, 836.0, 509.0, 18.0], shoonya_1sSAU09JDAQDRQ, 5776613]
[paragraph, [32.0, 854.0, 509.0, 18.0], shoonya_1sSAU09JDAQDRQ, 5776613]
[paragraph, [32.0, 872.0, 509.0, 18.0], shoonya_1sSAU09JDAQDRQ, 5776613]
