[975, 573]
[chapter-title, [207.0, 149.0, 160.0, 30.0], shoonya_0sH9XMF8ONBWTL, 5776223]
[paragraph, [22.0, 199.0, 536.0, 18.0], GZVRcMjFOb, 5776223]
[paragraph, [22.0, 217.0, 536.0, 18.0], GZVRcMjFOb, 5776223]
[paragraph, [24.0, 242.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 260.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 278.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 296.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 314.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 332.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 350.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 368.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 386.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 404.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 422.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 440.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 458.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 476.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 494.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 512.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 530.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 548.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 566.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 584.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 602.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 620.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 638.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 656.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 674.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 692.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 710.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 728.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [24.0, 746.0, 529.0, 18.0], mDXq5O3aR9, 5776223]
[paragraph, [21.0, 765.0, 532.0, 18.0], 3IEkOMk9DK, 5776223]
[paragraph, [21.0, 783.0, 532.0, 18.0], 3IEkOMk9DK, 5776223]
[paragraph, [21.0, 801.0, 532.0, 18.0], 3IEkOMk9DK, 5776223]
[paragraph, [21.0, 819.0, 532.0, 18.0], 3IEkOMk9DK, 5776223]
[paragraph, [21.0, 837.0, 532.0, 18.0], 3IEkOMk9DK, 5776223]
[paragraph, [21.0, 855.0, 532.0, 18.0], 3IEkOMk9DK, 5776223]
