[1250, 869]
[folio, [392.0, 23.0, 202.0, 18.0], shoonya_0s4K6BS2IANOLA, 5776414]
[folio, [392.0, 41.0, 202.0, 18.0], shoonya_0s4K6BS2IANOLA, 5776414]
[paragraph, [168.0, 77.0, 649.0, 18.0], clod2MNnuo, 5776414]
[paragraph, [168.0, 95.0, 649.0, 18.0], clod2MNnuo, 5776414]
[paragraph, [165.0, 132.0, 651.0, 18.0], oRxlUQCTze, 5776414]
[paragraph, [165.0, 150.0, 651.0, 18.0], oRxlUQCTze, 5776414]
[paragraph, [161.0, 177.0, 657.0, 18.0], lfHGL6yOB9, 5776414]
[paragraph, [161.0, 195.0, 657.0, 18.0], lfHGL6yOB9, 5776414]
[paragraph, [157.0, 232.0, 665.0, 18.0], u9FPtiuUlJ, 5776414]
[paragraph, [157.0, 250.0, 665.0, 18.0], u9FPtiuUlJ, 5776414]
[paragraph, [157.0, 268.0, 665.0, 18.0], u9FPtiuUlJ, 5776414]
[paragraph, [157.0, 286.0, 665.0, 18.0], u9FPtiuUlJ, 5776414]
[paragraph, [157.0, 304.0, 665.0, 18.0], u9FPtiuUlJ, 5776414]
[paragraph, [157.0, 322.0, 665.0, 18.0], u9FPtiuUlJ, 5776414]
[paragraph, [154.0, 348.0, 671.0, 18.0], xgVd9pReDr, 5776414]
[paragraph, [154.0, 366.0, 671.0, 18.0], xgVd9pReDr, 5776414]
[paragraph, [154.0, 384.0, 671.0, 18.0], xgVd9pReDr, 5776414]
[paragraph, [154.0, 402.0, 671.0, 18.0], xgVd9pReDr, 5776414]
[paragraph, [154.0, 420.0, 671.0, 18.0], xgVd9pReDr, 5776414]
[section-title, [378.0, 456.0, 220.0, 30.0], tWXAiQlVPI, 5776414]
[section-title, [378.0, 486.0, 220.0, 30.0], tWXAiQlVPI, 5776414]
[paragraph, [157.0, 531.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 549.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 567.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 585.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 603.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 621.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 639.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 657.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 675.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 693.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 711.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 729.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 747.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 765.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 783.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 801.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 819.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 837.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 855.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 873.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 891.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 909.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 927.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 945.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 963.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 981.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 999.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 1017.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 1035.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 1053.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 1071.0, 654.0, 18.0], 6nemks54hz, 5776414]
[paragraph, [157.0, 1089.0, 654.0, 18.0], 6nemks54hz, 5776414]
